News Search interest
United States; 2012

Interest over time
Week,Science
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-2%
2012-01-15 - 2012-01-21,-6%
2012-01-22 - 2012-01-28,+28%
2012-01-29 - 2012-02-04,+13%
2012-02-05 - 2012-02-11,+15%
2012-02-12 - 2012-02-18,-6%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,+4%
2012-03-04 - 2012-03-10,+53%
2012-03-11 - 2012-03-17,+13%
2012-03-18 - 2012-03-24,+0%
2012-03-25 - 2012-03-31,-2%
2012-04-01 - 2012-04-07,-2%
2012-04-08 - 2012-04-14,+0%
2012-04-15 - 2012-04-21,+6%
2012-04-22 - 2012-04-28,+19%
2012-04-29 - 2012-05-05,+13%
2012-05-06 - 2012-05-12,+9%
2012-05-13 - 2012-05-19,+11%
2012-05-20 - 2012-05-26,+32%
2012-05-27 - 2012-06-02,+0%
2012-06-03 - 2012-06-09,+13%
2012-06-10 - 2012-06-16,-2%
2012-06-17 - 2012-06-23,-6%
2012-06-24 - 2012-06-30,-15%
2012-07-01 - 2012-07-07,+36%
2012-07-08 - 2012-07-14,+13%
2012-07-15 - 2012-07-21,-4%
2012-07-22 - 2012-07-28,-15%
2012-07-29 - 2012-08-04,-21%
2012-08-05 - 2012-08-11,+11%
2012-08-12 - 2012-08-18,+15%
2012-08-19 - 2012-08-25,-6%
2012-08-26 - 2012-09-01,+19%
2012-09-02 - 2012-09-08,-2%
2012-09-09 - 2012-09-15,-4%
2012-09-16 - 2012-09-22,-2%
2012-09-23 - 2012-09-29,+4%
2012-09-30 - 2012-10-06,-9%
2012-10-07 - 2012-10-13,+2%
2012-10-14 - 2012-10-20,+4%
2012-10-21 - 2012-10-27,+15%
2012-10-28 - 2012-11-03,+13%
2012-11-04 - 2012-11-10,-15%
2012-11-11 - 2012-11-17,+64%
2012-11-18 - 2012-11-24,+23%
2012-11-25 - 2012-12-01,+57%
2012-12-02 - 2012-12-08,+11%
2012-12-09 - 2012-12-15,+47%
2012-12-16 - 2012-12-22,+66%
2012-12-23 - 2012-12-29,+19%
2012-12-30 - 2013-01-05,+113%



Top searches
meteor,100
meteor shower,75
solar,70
science,50
higgs,40
asteroid,40
steve jobs,30
global warming,30
asteroids,30
climate change,25
higgs boson,25
hadron collider,25
large hadron collider,25
sea ice,25
planet,25
mars,25
solar flare,20
solar eclipse,20
windows 7,20
nasa,20



Rising searches
asteroids,+2,550%
sea ice,+2,150%
bill nye,+700%
solar eclipse,+650%
meteor shower,+600%
meteor,+350%
large hadron collider,+300%
higgs,+250%
higgs boson,+190%
mars,+190%



