Web Search interest
United States; Past 7 days

Interest over time
Day,Online Communities
2014-09-11,+0%
2014-09-12,+2%
2014-09-13,+7%
2014-09-14,+9%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
facebook,100
twitter,5
tumblr,5
login facebook,5
linkedin,0
wallpaper,0
gif,0
torrent,0
images,0
pof,0
face,0
gifs,0
shutterfly,0
clip art,0
okcupid,0
wallpapers,0
pirate bay,0
backgrounds,0
instagram,0
face book,0



Rising searches
9/11 images,Breakout
9/11 photos,Breakout
maria belen chapur,Breakout
destiny wallpaper,+120%
weeworld,+50%
blackpeoplemeet,+40%
faceook,+40%
facw,+40%
hola,+40%
login facebook,+40%



