News Search interest
United States; 2013

Interest over time
Week,People & Society
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+3%
2013-01-20 - 2013-01-26,+5%
2013-01-27 - 2013-02-02,+17%
2013-02-03 - 2013-02-09,+6%
2013-02-10 - 2013-02-16,+22%
2013-02-17 - 2013-02-23,+19%
2013-02-24 - 2013-03-02,+24%
2013-03-03 - 2013-03-09,+24%
2013-03-10 - 2013-03-16,+51%
2013-03-17 - 2013-03-23,+16%
2013-03-24 - 2013-03-30,+35%
2013-03-31 - 2013-04-06,+16%
2013-04-07 - 2013-04-13,+19%
2013-04-14 - 2013-04-20,-5%
2013-04-21 - 2013-04-27,+2%
2013-04-28 - 2013-05-04,+6%
2013-05-05 - 2013-05-11,+2%
2013-05-12 - 2013-05-18,+2%
2013-05-19 - 2013-05-25,-5%
2013-05-26 - 2013-06-01,-3%
2013-06-02 - 2013-06-08,-2%
2013-06-09 - 2013-06-15,+5%
2013-06-16 - 2013-06-22,+17%
2013-06-23 - 2013-06-29,+51%
2013-06-30 - 2013-07-06,+59%
2013-07-07 - 2013-07-13,+44%
2013-07-14 - 2013-07-20,+44%
2013-07-21 - 2013-07-27,+21%
2013-07-28 - 2013-08-03,+6%
2013-08-04 - 2013-08-10,-5%
2013-08-11 - 2013-08-17,+8%
2013-08-18 - 2013-08-24,+3%
2013-08-25 - 2013-08-31,+0%
2013-09-01 - 2013-09-07,+5%
2013-09-08 - 2013-09-14,+2%
2013-09-15 - 2013-09-21,-6%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,-5%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+5%
2013-10-27 - 2013-11-02,+3%
2013-11-03 - 2013-11-09,+11%
2013-11-10 - 2013-11-16,+2%
2013-11-17 - 2013-11-23,+3%
2013-11-24 - 2013-11-30,-3%
2013-12-01 - 2013-12-07,+8%
2013-12-08 - 2013-12-14,+19%
2013-12-15 - 2013-12-21,+10%
2013-12-22 - 2013-12-28,+6%
2013-12-29 - 2014-01-04,-8%



Top searches
marriage,100
mandela,55
divorce,50
nelson mandela,50
pope,50
baby,45
india,45
kobe bryant divorce,40
zimmerman,40
girls,25
immigration,25
mohamed morsi,25
pregnant,25
same-sex marriage,25
us,20
north korea,20
immigration reform,15
kim kardashian,15
global warming,15
ufo,15



Rising searches
mohamed morsi,Breakout
mandela,+1,400%
nelson mandela,+1,400%
same-sex marriage,+1,100%
kobe bryant divorce,+500%
pope,+400%
immigration reform,+250%
north korea,+250%
divorce,+140%
marriage,+130%



