Google Shopping interest
United States; Past 30 days

Interest over time
Day,Pets & Animals
2014-08-20,+0%
2014-08-21,-3%
2014-08-22,-5%
2014-08-23,+8%
2014-08-24,+7%
2014-08-25,-6%
2014-08-26,-3%
2014-08-27,-3%
2014-08-28,-6%
2014-08-29,-1%
2014-08-30,+6%
2014-08-31,+14%
2014-09-01,+11%
2014-09-02,-10%
2014-09-03,-10%
2014-09-04,-17%
2014-09-05,-5%
2014-09-06,+8%
2014-09-07,+5%
2014-09-08,-14%
2014-09-09,-8%
2014-09-10,-8%
2014-09-11,-7%
2014-09-12,-5%
2014-09-13,+5%
2014-09-14,+3%
2014-09-15,-7%
2014-09-16,-6%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
dog,100
cat,45
dogs,35
fish,35
puppies,30
dog food,15
aquarium,15
pony,15
puppies for sale,15
puppy,15
cats,15
fish tank,10
horse,10
petsmart,10
my little pony,10
shark,10
petco,10
horses,10
turtle,5
pets,5



Rising searches
cat tree,+50%
terrarium,+50%
dog beds,+40%
dolphin,+40%
fish for sale,+40%



