Web Search interest
United States; Past 7 days

Interest over time
Day,People & Society
2014-09-11,+0%
2014-09-12,+0%
2014-09-13,-1%
2014-09-14,+3%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
games,100
girls,90
bible,90
hot,70
cool math,60
us,55
cool games,55
pregnancy,55
cool math games,55
love,45
horoscope,45
god,35
tmz,30
pandora,25
babies r us,25
jesus,25
social security,20
credit karma,20
univision,15
baby names,15



Rising searches
beyonce pregnant again,Breakout
solar flares 2014,Breakout
deliverance creek,+1,200%
star spangled spectacular,+650%
apparently kid,+400%
rojadirecta,+180%
taylor swift,+120%
matilda,+70%
fun games,+50%
pandora jewelry,+50%



