YouTube Search interest
United States; Past 12 months

Interest over time
Week,Finance
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,-3%
2013-10-06 - 2013-10-12,+3%
2013-10-13 - 2013-10-19,-3%
2013-10-20 - 2013-10-26,-3%
2013-10-27 - 2013-11-02,-5%
2013-11-03 - 2013-11-09,-5%
2013-11-10 - 2013-11-16,-5%
2013-11-17 - 2013-11-23,-4%
2013-11-24 - 2013-11-30,-9%
2013-12-01 - 2013-12-07,-3%
2013-12-08 - 2013-12-14,-4%
2013-12-15 - 2013-12-21,-3%
2013-12-22 - 2013-12-28,-4%
2013-12-29 - 2014-01-04,+0%
2014-01-05 - 2014-01-11,+6%
2014-01-12 - 2014-01-18,+6%
2014-01-19 - 2014-01-25,+1%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,+5%
2014-02-09 - 2014-02-15,+8%
2014-02-16 - 2014-02-22,+6%
2014-02-23 - 2014-03-01,+10%
2014-03-02 - 2014-03-08,+8%
2014-03-09 - 2014-03-15,+10%
2014-03-16 - 2014-03-22,+10%
2014-03-23 - 2014-03-29,+13%
2014-03-30 - 2014-04-05,+6%
2014-04-06 - 2014-04-12,+16%
2014-04-13 - 2014-04-19,+5%
2014-04-20 - 2014-04-26,+8%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,+6%
2014-05-11 - 2014-05-17,+8%
2014-05-18 - 2014-05-24,+5%
2014-05-25 - 2014-05-31,+5%
2014-06-01 - 2014-06-07,+14%
2014-06-08 - 2014-06-14,+14%
2014-06-15 - 2014-06-21,+19%
2014-06-22 - 2014-06-28,+22%
2014-06-29 - 2014-07-05,+21%
2014-07-06 - 2014-07-12,+30%
2014-07-13 - 2014-07-19,+22%
2014-07-20 - 2014-07-26,+27%
2014-07-27 - 2014-08-02,+21%
2014-08-03 - 2014-08-09,+21%
2014-08-10 - 2014-08-16,+25%
2014-08-17 - 2014-08-23,+30%
2014-08-24 - 2014-08-30,+25%
2014-08-31 - 2014-09-06,+19%
2014-09-07 - 2014-09-13,+19%
2014-09-14 - 2014-09-20,+25%



Top searches
mlp,100
bts,55
payday,50
banks,45
payday 2,40
fx,40
chase,40
nae nae,40
nae,35
syndicate,30
trading,25
lucky penny,20
lucky penny shop,20
accounting,20
w2s,20
stocks,15
geico,15
ballislife,15
stock market,15
options,10



Rising searches
nae,Breakout
nae nae,Breakout
w2s,Breakout
bts,+300%
extra credits,+300%
lucky penny shop,+300%
saving mr banks,+300%
lucky penny,+250%
chase rice,+130%
banks,+110%



