News Search interest
United States; Past 12 months

Interest over time
Week,News
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,+33%
2013-10-06 - 2013-10-12,+23%
2013-10-13 - 2013-10-19,+20%
2013-10-20 - 2013-10-26,+0%
2013-10-27 - 2013-11-02,-3%
2013-11-03 - 2013-11-09,+8%
2013-11-10 - 2013-11-16,-3%
2013-11-17 - 2013-11-23,-5%
2013-11-24 - 2013-11-30,-5%
2013-12-01 - 2013-12-07,+64%
2013-12-08 - 2013-12-14,+15%
2013-12-15 - 2013-12-21,-2%
2013-12-22 - 2013-12-28,-5%
2013-12-29 - 2014-01-04,+5%
2014-01-05 - 2014-01-11,+8%
2014-01-12 - 2014-01-18,-5%
2014-01-19 - 2014-01-25,+2%
2014-01-26 - 2014-02-01,+13%
2014-02-02 - 2014-02-08,+36%
2014-02-09 - 2014-02-15,+25%
2014-02-16 - 2014-02-22,+7%
2014-02-23 - 2014-03-01,+16%
2014-03-02 - 2014-03-08,+26%
2014-03-09 - 2014-03-15,-5%
2014-03-16 - 2014-03-22,-8%
2014-03-23 - 2014-03-29,+2%
2014-03-30 - 2014-04-05,+5%
2014-04-06 - 2014-04-12,-2%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+2%
2014-04-27 - 2014-05-03,+8%
2014-05-04 - 2014-05-10,+13%
2014-05-11 - 2014-05-17,+21%
2014-05-18 - 2014-05-24,+16%
2014-05-25 - 2014-05-31,+16%
2014-06-01 - 2014-06-07,+7%
2014-06-08 - 2014-06-14,+2%
2014-06-15 - 2014-06-21,+3%
2014-06-22 - 2014-06-28,+5%
2014-06-29 - 2014-07-05,-3%
2014-07-06 - 2014-07-12,-5%
2014-07-13 - 2014-07-19,+2%
2014-07-20 - 2014-07-26,+0%
2014-07-27 - 2014-08-02,+7%
2014-08-03 - 2014-08-09,+5%
2014-08-10 - 2014-08-16,+0%
2014-08-17 - 2014-08-23,-3%
2014-08-24 - 2014-08-30,+2%
2014-08-31 - 2014-09-06,+7%
2014-09-07 - 2014-09-13,-3%
2014-09-14 - 2014-09-20,-5%



Top searches
news,100
weather,95
kardashian,25
miley cyrus,20
kim kardashian,15
republican party,15
paul walker,15
cnn,10
tiempo,10
fox news,10
google,10
putin,10
obama,5
google news,5
vladimir putin,5
hillary clinton,5
philip seymour hoffman,5
yahoo,5
cristiano ronaldo,5
cnn news,5



Rising searches
paul walker,Breakout
philip seymour hoffman,Breakout
tiempo,+1,150%
republican party,+500%
hillary rodham clinton,+300%
weather,+180%
cristiano ronaldo,+110%
miley cyrus,+110%
google news,+100%
putin,+80%



