Web Search interest
United States; Past 90 days

Interest over time
Day,Arts & Entertainment
2014-06-18,+0%
2014-06-19,+6%
2014-06-20,+6%
2014-06-21,+18%
2014-06-22,+15%
2014-06-23,+1%
2014-06-24,+1%
2014-06-25,+4%
2014-06-26,+4%
2014-06-27,+9%
2014-06-28,+15%
2014-06-29,+18%
2014-06-30,+5%
2014-07-01,+4%
2014-07-02,+2%
2014-07-03,+7%
2014-07-04,+24%
2014-07-05,+23%
2014-07-06,+20%
2014-07-07,+4%
2014-07-08,+2%
2014-07-09,+0%
2014-07-10,+4%
2014-07-11,+5%
2014-07-12,+20%
2014-07-13,+18%
2014-07-14,+1%
2014-07-15,+4%
2014-07-16,+1%
2014-07-17,+5%
2014-07-18,+10%
2014-07-19,+20%
2014-07-20,+20%
2014-07-21,+1%
2014-07-22,+2%
2014-07-23,+1%
2014-07-24,+6%
2014-07-25,+11%
2014-07-26,+19%
2014-07-27,+23%
2014-07-28,+5%
2014-07-29,+6%
2014-07-30,+7%
2014-07-31,+5%
2014-08-01,+9%
2014-08-02,+21%
2014-08-03,+25%
2014-08-04,+4%
2014-08-05,+6%
2014-08-06,+7%
2014-08-07,+4%
2014-08-08,+6%
2014-08-09,+24%
2014-08-10,+21%
2014-08-11,+15%
2014-08-12,+25%
2014-08-13,+11%
2014-08-14,+5%
2014-08-15,+7%
2014-08-16,+16%
2014-08-17,+20%
2014-08-18,+1%
2014-08-19,+1%
2014-08-20,+1%
2014-08-21,+5%
2014-08-22,+6%
2014-08-23,+20%
2014-08-24,+20%
2014-08-25,+9%
2014-08-26,+2%
2014-08-27,-3%
2014-08-28,-1%
2014-08-29,+4%
2014-08-30,+16%
2014-08-31,+16%
2014-09-01,+19%
2014-09-02,+0%
2014-09-03,-4%
2014-09-04,-1%
2014-09-05,+1%
2014-09-06,+15%
2014-09-07,+13%
2014-09-08,-6%
2014-09-09,-5%
2014-09-10,-3%
2014-09-11,+0%
2014-09-12,+0%
2014-09-13,+16%
2014-09-14,+13%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
youtube,100
you,30
movies,30
netflix,20
google,15
robin williams,10
facebook,10
imdb,10
disney,5
you tube,5
beyonce,5
nicki minaj,5
worldstarhiphop,5
iggy,5
instagram,5
twitter,5
amazon,5
youtube mp3,5
yahoo,5
jokes,5



Rising searches
robin williams,Breakout
big brother,+950%
jennifer lawrence,+250%
world cup,+190%
nicki minaj,+160%
ninja turtles,+150%
sons of anarchy,+140%
ariana grande,+130%
4chan,+120%
kate upton,+100%



