Google Shopping interest
United States; Past 90 days

Interest over time
Day,People & Society
2014-06-20,+0%
2014-06-21,+3%
2014-06-22,+1%
2014-06-23,+4%
2014-06-24,+4%
2014-06-25,+2%
2014-06-26,-1%
2014-06-27,+0%
2014-06-28,+1%
2014-06-29,+1%
2014-06-30,+1%
2014-07-01,+0%
2014-07-02,+1%
2014-07-03,-1%
2014-07-04,-1%
2014-07-05,-1%
2014-07-06,+9%
2014-07-07,+2%
2014-07-08,+2%
2014-07-09,+8%
2014-07-10,+4%
2014-07-11,+3%
2014-07-12,+5%
2014-07-13,+5%
2014-07-14,+5%
2014-07-15,+2%
2014-07-16,+5%
2014-07-17,+4%
2014-07-18,+4%
2014-07-19,+7%
2014-07-20,+7%
2014-07-21,-1%
2014-07-22,+1%
2014-07-23,+3%
2014-07-24,+2%
2014-07-25,+2%
2014-07-26,+3%
2014-07-27,+7%
2014-07-28,-3%
2014-07-29,+4%
2014-07-30,+1%
2014-07-31,+2%
2014-08-01,+1%
2014-08-02,-3%
2014-08-03,+3%
2014-08-04,+3%
2014-08-05,+2%
2014-08-06,+0%
2014-08-07,+1%
2014-08-08,+1%
2014-08-09,+2%
2014-08-10,-1%
2014-08-11,+2%
2014-08-12,+0%
2014-08-13,+1%
2014-08-14,+2%
2014-08-15,+1%
2014-08-16,+2%
2014-08-17,+4%
2014-08-18,+0%
2014-08-19,+3%
2014-08-20,+0%
2014-08-21,+3%
2014-08-22,+4%
2014-08-23,+5%
2014-08-24,+3%
2014-08-25,+2%
2014-08-26,+3%
2014-08-27,+3%
2014-08-28,+3%
2014-08-29,+9%
2014-08-30,+5%
2014-08-31,+3%
2014-09-01,+3%
2014-09-02,+7%
2014-09-03,+5%
2014-09-04,+1%
2014-09-05,+0%
2014-09-06,+3%
2014-09-07,+5%
2014-09-08,+4%
2014-09-09,+2%
2014-09-10,+1%
2014-09-11,+10%
2014-09-12,+3%
2014-09-13,+2%
2014-09-14,+3%
2014-09-15,+4%
2014-09-16,+2%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
baby,100
stroller,35
girl,25
car seat,25
bracelet,20
wedding dresses,20
bible,20
wedding dress,15
love,10
wedding bands,10
diapers,10
target,10
wedding rings,10
diaper bag,10
pandora,10
babies r us,5
dragon,5
double stroller,5
strollers,5
garcinia cambogia,5



Rising searches
groot,Breakout
nelson mandela,Breakout
joggers,+250%
jogger pants,+140%
credit karma,+110%
monster high dolls,+70%
engagement rings,+50%
graco car seat,+50%
harry potter,+50%
lokai bracelet,+50%



