News Search interest
United States; 2011

Interest over time
Week,People & Society
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+72%
2011-01-16 - 2011-01-22,+26%
2011-01-23 - 2011-01-29,+9%
2011-01-30 - 2011-02-05,+10%
2011-02-06 - 2011-02-12,+7%
2011-02-13 - 2011-02-19,+9%
2011-02-20 - 2011-02-26,+5%
2011-02-27 - 2011-03-05,+7%
2011-03-06 - 2011-03-12,-3%
2011-03-13 - 2011-03-19,+17%
2011-03-20 - 2011-03-26,+17%
2011-03-27 - 2011-04-02,+16%
2011-04-03 - 2011-04-09,+10%
2011-04-10 - 2011-04-16,+14%
2011-04-17 - 2011-04-23,+9%
2011-04-24 - 2011-04-30,+26%
2011-05-01 - 2011-05-07,-7%
2011-05-08 - 2011-05-14,+3%
2011-05-15 - 2011-05-21,+24%
2011-05-22 - 2011-05-28,+22%
2011-05-29 - 2011-06-04,+3%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,+12%
2011-06-19 - 2011-06-25,+10%
2011-06-26 - 2011-07-02,+9%
2011-07-03 - 2011-07-09,+2%
2011-07-10 - 2011-07-16,+16%
2011-07-17 - 2011-07-23,+3%
2011-07-24 - 2011-07-30,-7%
2011-07-31 - 2011-08-06,-7%
2011-08-07 - 2011-08-13,-7%
2011-08-14 - 2011-08-20,+2%
2011-08-21 - 2011-08-27,-12%
2011-08-28 - 2011-09-03,-9%
2011-09-04 - 2011-09-10,-5%
2011-09-11 - 2011-09-17,+5%
2011-09-18 - 2011-09-24,+0%
2011-09-25 - 2011-10-01,+7%
2011-10-02 - 2011-10-08,-3%
2011-10-09 - 2011-10-15,+5%
2011-10-16 - 2011-10-22,+14%
2011-10-23 - 2011-10-29,+10%
2011-10-30 - 2011-11-05,+22%
2011-11-06 - 2011-11-12,+2%
2011-11-13 - 2011-11-19,+5%
2011-11-20 - 2011-11-26,-2%
2011-11-27 - 2011-12-03,+7%
2011-12-04 - 2011-12-10,+5%
2011-12-11 - 2011-12-17,+5%
2011-12-18 - 2011-12-24,+3%
2011-12-25 - 2011-12-31,+5%



Top searches
india india,100
india,100
nuclear,60
ufo,60
wedding,60
2012,60
baby,55
marriage,50
japan,50
zodiac,45
us,40
pregnant,40
nuclear japan,40
harry potter,35
divorce,30
immigration,30
harold camping,30
economy,30
zodiac signs,30
greece,30



Rising searches
harold camping,Breakout
nuclear japan,Breakout
zodiac,Breakout
zodiac signs,Breakout
kim kardashian,+800%
japan,+650%
protests,+500%
2012,+450%
horoscope,+250%
wedding,+250%



