Web Search interest
United States; Past 90 days

Interest over time
Day,Business & Industrial
2014-06-18,+0%
2014-06-19,+2%
2014-06-20,-2%
2014-06-21,-24%
2014-06-22,-25%
2014-06-23,-2%
2014-06-24,-1%
2014-06-25,-1%
2014-06-26,-2%
2014-06-27,-2%
2014-06-28,-21%
2014-06-29,-26%
2014-06-30,+0%
2014-07-01,+2%
2014-07-02,+3%
2014-07-03,-2%
2014-07-04,-23%
2014-07-05,-24%
2014-07-06,-28%
2014-07-07,+2%
2014-07-08,+4%
2014-07-09,-1%
2014-07-10,+3%
2014-07-11,-1%
2014-07-12,-22%
2014-07-13,-27%
2014-07-14,+0%
2014-07-15,+2%
2014-07-16,+4%
2014-07-17,+0%
2014-07-18,-1%
2014-07-19,-21%
2014-07-20,-23%
2014-07-21,+3%
2014-07-22,+1%
2014-07-23,+4%
2014-07-24,+1%
2014-07-25,-1%
2014-07-26,-21%
2014-07-27,-23%
2014-07-28,+1%
2014-07-29,+4%
2014-07-30,+2%
2014-07-31,+2%
2014-08-01,-1%
2014-08-02,-22%
2014-08-03,-26%
2014-08-04,+0%
2014-08-05,+1%
2014-08-06,+4%
2014-08-07,+0%
2014-08-08,-5%
2014-08-09,-22%
2014-08-10,-24%
2014-08-11,-2%
2014-08-12,-3%
2014-08-13,+0%
2014-08-14,+3%
2014-08-15,-3%
2014-08-16,-22%
2014-08-17,-25%
2014-08-18,+3%
2014-08-19,+3%
2014-08-20,+2%
2014-08-21,+0%
2014-08-22,+0%
2014-08-23,-21%
2014-08-24,-24%
2014-08-25,+7%
2014-08-26,+9%
2014-08-27,+3%
2014-08-28,+1%
2014-08-29,-3%
2014-08-30,-22%
2014-08-31,-27%
2014-09-01,-23%
2014-09-02,-3%
2014-09-03,-1%
2014-09-04,+1%
2014-09-05,-5%
2014-09-06,-24%
2014-09-07,-26%
2014-09-08,+1%
2014-09-09,-1%
2014-09-10,+5%
2014-09-11,+0%
2014-09-12,-3%
2014-09-13,-24%
2014-09-14,-24%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
fb,100
usps,70
ups,60
water,50
fedex,50
paypal,35
usps tracking,30
ups tracking,25
storage,25
staples,25
post office,20
fedex tracking,20
amazon,15
walmart,15
office depot,15
home depot,15
adp,15
access,15
ebay,10
ferguson,10



Rising searches
super moon,+2,950%
frankie grande,+2,550%
agt,+1,700%
emmys,+1,300%
world cup bracket,+500%
market basket,+400%
ferguson,+300%
surface pro 3,+170%
fb,+150%
michelle rodriguez,+90%



