Google Shopping interest
United States; 2011

Interest over time
Week,People & Society
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+9%
2011-01-16 - 2011-01-22,+9%
2011-01-23 - 2011-01-29,+10%
2011-01-30 - 2011-02-05,+6%
2011-02-06 - 2011-02-12,+8%
2011-02-13 - 2011-02-19,+8%
2011-02-20 - 2011-02-26,+6%
2011-02-27 - 2011-03-05,+13%
2011-03-06 - 2011-03-12,+10%
2011-03-13 - 2011-03-19,+12%
2011-03-20 - 2011-03-26,+10%
2011-03-27 - 2011-04-02,+14%
2011-04-03 - 2011-04-09,+12%
2011-04-10 - 2011-04-16,+12%
2011-04-17 - 2011-04-23,+8%
2011-04-24 - 2011-04-30,+8%
2011-05-01 - 2011-05-07,+9%
2011-05-08 - 2011-05-14,+8%
2011-05-15 - 2011-05-21,+9%
2011-05-22 - 2011-05-28,+8%
2011-05-29 - 2011-06-04,+9%
2011-06-05 - 2011-06-11,+12%
2011-06-12 - 2011-06-18,+5%
2011-06-19 - 2011-06-25,+5%
2011-06-26 - 2011-07-02,+8%
2011-07-03 - 2011-07-09,+10%
2011-07-10 - 2011-07-16,+14%
2011-07-17 - 2011-07-23,+18%
2011-07-24 - 2011-07-30,+22%
2011-07-31 - 2011-08-06,+19%
2011-08-07 - 2011-08-13,+23%
2011-08-14 - 2011-08-20,+25%
2011-08-21 - 2011-08-27,+14%
2011-08-28 - 2011-09-03,+21%
2011-09-04 - 2011-09-10,+26%
2011-09-11 - 2011-09-17,+22%
2011-09-18 - 2011-09-24,+21%
2011-09-25 - 2011-10-01,+25%
2011-10-02 - 2011-10-08,+17%
2011-10-09 - 2011-10-15,+18%
2011-10-16 - 2011-10-22,+21%
2011-10-23 - 2011-10-29,+18%
2011-10-30 - 2011-11-05,+14%
2011-11-06 - 2011-11-12,+14%
2011-11-13 - 2011-11-19,+18%
2011-11-20 - 2011-11-26,+19%
2011-11-27 - 2011-12-03,+26%
2011-12-04 - 2011-12-10,+30%
2011-12-11 - 2011-12-17,+19%
2011-12-18 - 2011-12-24,+6%
2011-12-25 - 2011-12-31,-3%



Top searches
baby,100
stroller,55
graco,35
bible,20
car seat,20
leappad,15
leapfrog,15
wedding dresses,15
chicco,10
harry potter,10
baby stroller,10
high chair,10
double stroller,10
wedding dress,10
diaper bag,10
strollers,10
diapers,10
leap pad,10
car seats,5
wedding bands,5



Rising searches
leapfrog tablet,Breakout
leappad explorer,Breakout
leapfrog leappad,+3,900%
leappad,+3,150%
leap pad,+2,500%
leapfrog explorer,+600%
g12,+350%
leapfrog,+160%
harry potter,+70%
baby shower invitations,+50%



