YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Internet & Telecom
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-5%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,+0%
2008-02-03 - 2008-02-09,-3%
2008-02-10 - 2008-02-16,-5%
2008-02-17 - 2008-02-23,-5%
2008-02-24 - 2008-03-01,-7%
2008-03-02 - 2008-03-08,-7%
2008-03-09 - 2008-03-15,-5%
2008-03-16 - 2008-03-22,-3%
2008-03-23 - 2008-03-29,-7%
2008-03-30 - 2008-04-05,-5%
2008-04-06 - 2008-04-12,-5%
2008-04-13 - 2008-04-19,-3%
2008-04-20 - 2008-04-26,+10%
2008-04-27 - 2008-05-03,+2%
2008-05-04 - 2008-05-10,+2%
2008-05-11 - 2008-05-17,+7%
2008-05-18 - 2008-05-24,+5%
2008-05-25 - 2008-05-31,+7%
2008-06-01 - 2008-06-07,+5%
2008-06-08 - 2008-06-14,+27%
2008-06-15 - 2008-06-21,+20%
2008-06-22 - 2008-06-28,+18%
2008-06-29 - 2008-07-05,+25%
2008-07-06 - 2008-07-12,+30%
2008-07-13 - 2008-07-19,+23%
2008-07-20 - 2008-07-26,+23%
2008-07-27 - 2008-08-02,+18%
2008-08-03 - 2008-08-09,+18%
2008-08-10 - 2008-08-16,+13%
2008-08-17 - 2008-08-23,+25%
2008-08-24 - 2008-08-30,+23%
2008-08-31 - 2008-09-06,+15%
2008-09-07 - 2008-09-13,+15%
2008-09-14 - 2008-09-20,+20%
2008-09-21 - 2008-09-27,+32%
2008-09-28 - 2008-10-04,+23%
2008-10-05 - 2008-10-11,+20%
2008-10-12 - 2008-10-18,+27%
2008-10-19 - 2008-10-25,+52%
2008-10-26 - 2008-11-01,+43%
2008-11-02 - 2008-11-08,+43%
2008-11-09 - 2008-11-15,+60%
2008-11-16 - 2008-11-22,+65%
2008-11-23 - 2008-11-29,+65%
2008-11-30 - 2008-12-06,+65%
2008-12-07 - 2008-12-13,+48%
2008-12-14 - 2008-12-20,+45%
2008-12-21 - 2008-12-27,+45%
2008-12-28 - 2009-01-03,+35%
2009-01-04 - 2009-01-10,+38%
2009-01-11 - 2009-01-17,+38%
2009-01-18 - 2009-01-24,+32%
2009-01-25 - 2009-01-31,+30%
2009-02-01 - 2009-02-07,+32%
2009-02-08 - 2009-02-14,+30%
2009-02-15 - 2009-02-21,+35%
2009-02-22 - 2009-02-28,+27%
2009-03-01 - 2009-03-07,+25%
2009-03-08 - 2009-03-14,+25%
2009-03-15 - 2009-03-21,+27%
2009-03-22 - 2009-03-28,+27%
2009-03-29 - 2009-04-04,+23%
2009-04-05 - 2009-04-11,+23%
2009-04-12 - 2009-04-18,+18%
2009-04-19 - 2009-04-25,+18%
2009-04-26 - 2009-05-02,+23%
2009-05-03 - 2009-05-09,+23%
2009-05-10 - 2009-05-16,+23%
2009-05-17 - 2009-05-23,+25%
2009-05-24 - 2009-05-30,+25%
2009-05-31 - 2009-06-06,+27%
2009-06-07 - 2009-06-13,+48%
2009-06-14 - 2009-06-20,+38%
2009-06-21 - 2009-06-27,+38%
2009-06-28 - 2009-07-04,+32%
2009-07-05 - 2009-07-11,+30%
2009-07-12 - 2009-07-18,+32%
2009-07-19 - 2009-07-25,+35%
2009-07-26 - 2009-08-01,+32%
2009-08-02 - 2009-08-08,+35%
2009-08-09 - 2009-08-15,+38%
2009-08-16 - 2009-08-22,+48%
2009-08-23 - 2009-08-29,+95%
2009-08-30 - 2009-09-05,+60%
2009-09-06 - 2009-09-12,+45%
2009-09-13 - 2009-09-19,+25%
2009-09-20 - 2009-09-26,+35%
2009-09-27 - 2009-10-03,+35%
2009-10-04 - 2009-10-10,+38%
2009-10-11 - 2009-10-17,+38%
2009-10-18 - 2009-10-24,+38%
2009-10-25 - 2009-10-31,+38%
2009-11-01 - 2009-11-07,+43%
2009-11-08 - 2009-11-14,+40%
2009-11-15 - 2009-11-21,+45%
2009-11-22 - 2009-11-28,+40%
2009-11-29 - 2009-12-05,+55%
2009-12-06 - 2009-12-12,+48%
2009-12-13 - 2009-12-19,+45%
2009-12-20 - 2009-12-26,+43%
2009-12-27 - 2010-01-02,+48%
2010-01-03 - 2010-01-09,+63%
2010-01-10 - 2010-01-16,+43%
2010-01-17 - 2010-01-23,+45%
2010-01-24 - 2010-01-30,+43%
2010-01-31 - 2010-02-06,+43%
2010-02-07 - 2010-02-13,+38%
2010-02-14 - 2010-02-20,+40%
2010-02-21 - 2010-02-27,+48%
2010-02-28 - 2010-03-06,+48%
2010-03-07 - 2010-03-13,+60%
2010-03-14 - 2010-03-20,+68%
