Web Search interest
United States; Past 7 days

Interest over time
Day,Hobbies & Leisure
2014-09-11,+0%
2014-09-12,+4%
2014-09-13,+19%
2014-09-14,+15%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
dog,100
lottery,100
dogs,45
cat,45
puppies,35
halloween,30
fish,25
cats,20
happy birthday,20
kayak,20
puppy,15
flowers,15
anaconda,15
petsmart,15
party city,15
powerball,15
mega millions,15
ebay,10
flower,10
fall,10



Rising searches
giancarlo stanton,+2,700%
dolphin tale 2,+350%
dolphin tale,+300%
oktoberfest 2014,+100%
dolphin,+90%
gazelle,+70%
powerball winning numbers,+70%
oktoberfest,+60%
hangouts,+50%
anaconda,+40%



