Web Search interest
United States; Past 7 days

Interest over time
Day,Business & Industrial
2014-09-11,+0%
2014-09-12,-4%
2014-09-13,-21%
2014-09-14,-24%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
fb,100
usps,80
ups,60
fedex,55
paypal,45
usps tracking,40
ups tracking,25
staples,25
post office,20
fedex tracking,20
amazon,20
adp,20
walmart,15
access,15
office depot,15
home depot,15
ebay,15
iphone 5s,15
agt,10
yahoo finance,10



Rising searches
silverado canyon fire,Breakout
david haines,+3,500%
agt results,+400%
duluth trading,+190%
agt voting,+170%
agt,+130%
warren buffett,+90%
iphone 5s,+80%
fave,+50%
home access center,+50%



