Image Search interest
United States; Past 7 days

Interest over time
Day,Science
2014-09-12,+0%
2014-09-13,-36%
2014-09-14,-28%
2014-09-15,+6%
2014-09-16,+11%
2014-09-17, 
2014-09-18, 



Top searches
periodic table,100
spider,95
cell,95
science,70
animals,70
math,65
water,55
earth,40
bug,40
ocean,40
brain,35
moon,35
skeleton,35
animal cell,30
butterfly,30
nebula,30
dinosaur,30
microscope,30
brown recluse,30
space,30



Rising searches
northern lights,Breakout
aurora borealis,+250%
rainforest,+100%
tundra,+50%
plant cell,+40%
skeleton,+40%



