News Search interest
United States; 2009

Interest over time
Week,Internet & Telecom
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-4%
2009-01-18 - 2009-01-24,-19%
2009-01-25 - 2009-01-31,+67%
2009-02-01 - 2009-02-07,+83%
2009-02-08 - 2009-02-14,-2%
2009-02-15 - 2009-02-21,+48%
2009-02-22 - 2009-02-28,-8%
2009-03-01 - 2009-03-07,-15%
2009-03-08 - 2009-03-14,+2%
2009-03-15 - 2009-03-21,+2%
2009-03-22 - 2009-03-28,+8%
2009-03-29 - 2009-04-04,+42%
2009-04-05 - 2009-04-11,+108%
2009-04-12 - 2009-04-18,+96%
2009-04-19 - 2009-04-25,+98%
2009-04-26 - 2009-05-02,+38%
2009-05-03 - 2009-05-09,+50%
2009-05-10 - 2009-05-16,+98%
2009-05-17 - 2009-05-23,+85%
2009-05-24 - 2009-05-30,+75%
2009-05-31 - 2009-06-06,+65%
2009-06-07 - 2009-06-13,+108%
2009-06-14 - 2009-06-20,+90%
2009-06-21 - 2009-06-27,+40%
2009-06-28 - 2009-07-04,+25%
2009-07-05 - 2009-07-11,+31%
2009-07-12 - 2009-07-18,+38%
2009-07-19 - 2009-07-25,+40%
2009-07-26 - 2009-08-01,+67%
2009-08-02 - 2009-08-08,+48%
2009-08-09 - 2009-08-15,+35%
2009-08-16 - 2009-08-22,+42%
2009-08-23 - 2009-08-29,+48%
2009-08-30 - 2009-09-05,+50%
2009-09-06 - 2009-09-12,+60%
2009-09-13 - 2009-09-19,+27%
2009-09-20 - 2009-09-26,+54%
2009-09-27 - 2009-10-03,+42%
2009-10-04 - 2009-10-10,+102%
2009-10-11 - 2009-10-17,+81%
2009-10-18 - 2009-10-24,+65%
2009-10-25 - 2009-10-31,+83%
2009-11-01 - 2009-11-07,+63%
2009-11-08 - 2009-11-14,+44%
2009-11-15 - 2009-11-21,+42%
2009-11-22 - 2009-11-28,+25%
2009-11-29 - 2009-12-05,+33%
2009-12-06 - 2009-12-12,+25%
2009-12-13 - 2009-12-19,+71%
2009-12-20 - 2009-12-26,+54%
2009-12-27 - 2010-01-02,+60%



Top searches
google,100
iphone,65
verizon,30
blackberry,25
palm pre,25
twitter,15
yahoo,15
mail,15
android,15
at&t,15
yahoo mail,10
sprint,10
htc,10
mobile,10
blackberry storm,10
twitter tips,5
motorola,5
verizon iphone,5
verizon wireless,5
new iphone,5



Rising searches
palm pre,Breakout
twitter tips,Breakout
twitter,+1,850%
verizon iphone,+650%
motorola,+120%
verizon wireless,+80%
at&t,+60%
verizon,+60%
android,+50%
htc,+50%



