Image Search interest
United States; 2010

Interest over time
Week,Books & Literature
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+10%
2010-01-17 - 2010-01-23,+8%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,+4%
2010-02-07 - 2010-02-13,+6%
2010-02-14 - 2010-02-20,+6%
2010-02-21 - 2010-02-27,+14%
2010-02-28 - 2010-03-06,+27%
2010-03-07 - 2010-03-13,+28%
2010-03-14 - 2010-03-20,+15%
2010-03-21 - 2010-03-27,+18%
2010-03-28 - 2010-04-03,+5%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,+14%
2010-04-18 - 2010-04-24,+12%
2010-04-25 - 2010-05-01,+13%
2010-05-02 - 2010-05-08,+12%
2010-05-09 - 2010-05-15,+17%
2010-05-16 - 2010-05-22,+15%
2010-05-23 - 2010-05-29,+13%
2010-05-30 - 2010-06-05,+5%
2010-06-06 - 2010-06-12,+0%
2010-06-13 - 2010-06-19,-3%
2010-06-20 - 2010-06-26,-9%
2010-06-27 - 2010-07-03,-9%
2010-07-04 - 2010-07-10,-18%
2010-07-11 - 2010-07-17,-10%
2010-07-18 - 2010-07-24,-13%
2010-07-25 - 2010-07-31,-14%
2010-08-01 - 2010-08-07,-14%
2010-08-08 - 2010-08-14,-14%
2010-08-15 - 2010-08-21,-10%
2010-08-22 - 2010-08-28,-9%
2010-08-29 - 2010-09-04,-9%
2010-09-05 - 2010-09-11,-6%
2010-09-12 - 2010-09-18,-3%
2010-09-19 - 2010-09-25,-1%
2010-09-26 - 2010-10-02,-1%
2010-10-03 - 2010-10-09,+0%
2010-10-10 - 2010-10-16,+6%
2010-10-17 - 2010-10-23,+10%
2010-10-24 - 2010-10-30,+18%
2010-10-31 - 2010-11-06,+9%
2010-11-07 - 2010-11-13,+15%
2010-11-14 - 2010-11-20,+21%
2010-11-21 - 2010-11-27,+9%
2010-11-28 - 2010-12-04,+15%
2010-12-05 - 2010-12-11,+15%
2010-12-12 - 2010-12-18,+8%
2010-12-19 - 2010-12-25,-5%
2010-12-26 - 2011-01-01,-8%



Top searches
quotes,100
love,50
book,45
alice,30
love quotes,30
alice in wonderland,25
amor,25
harry potter,25
magazine,20
poems,20
books,20
sayings,20
de amor,15
frases,15
sayings and quotes,10
marilyn monroe,10
life quotes,10
book cover,10
funny quotes,10
winnie the pooh,10



Rising searches
deathly hallows,+200%
sayings and quotes,+130%
funny quotes,+120%
life quotes,+120%
cute quotes,+110%
love quotes,+90%
quotes,+90%
alice in wonderland,+80%
alice,+70%
de amor,+70%



