Google Shopping interest
United States; 2008

Interest over time
Week,News
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-5%
2008-01-20 - 2008-01-26,-8%
2008-01-27 - 2008-02-02,-9%
2008-02-03 - 2008-02-09,-12%
2008-02-10 - 2008-02-16,-13%
2008-02-17 - 2008-02-23,-16%
2008-02-24 - 2008-03-01,-14%
2008-03-02 - 2008-03-08,-22%
2008-03-09 - 2008-03-15,-17%
2008-03-16 - 2008-03-22,-19%
2008-03-23 - 2008-03-29,-22%
2008-03-30 - 2008-04-05,-16%
2008-04-06 - 2008-04-12,-22%
2008-04-13 - 2008-04-19,-25%
2008-04-20 - 2008-04-26,-23%
2008-04-27 - 2008-05-03,-30%
2008-05-04 - 2008-05-10,-23%
2008-05-11 - 2008-05-17,-23%
2008-05-18 - 2008-05-24,-31%
2008-05-25 - 2008-05-31,-27%
2008-06-01 - 2008-06-07,-19%
2008-06-08 - 2008-06-14,-18%
2008-06-15 - 2008-06-21,-22%
2008-06-22 - 2008-06-28,-16%
2008-06-29 - 2008-07-05,-13%
2008-07-06 - 2008-07-12,-14%
2008-07-13 - 2008-07-19,-16%
2008-07-20 - 2008-07-26,-21%
2008-07-27 - 2008-08-02,-21%
2008-08-03 - 2008-08-09,-13%
2008-08-10 - 2008-08-16,-17%
2008-08-17 - 2008-08-23,-10%
2008-08-24 - 2008-08-30,-1%
2008-08-31 - 2008-09-06,-1%
2008-09-07 - 2008-09-13,+0%
2008-09-14 - 2008-09-20,-4%
2008-09-21 - 2008-09-27,-1%
2008-09-28 - 2008-10-04,-1%
2008-10-05 - 2008-10-11,+1%
2008-10-12 - 2008-10-18,+4%
2008-10-19 - 2008-10-25,+1%
2008-10-26 - 2008-11-01,+0%
2008-11-02 - 2008-11-08,+30%
2008-11-09 - 2008-11-15,-17%
2008-11-16 - 2008-11-22,-18%
2008-11-23 - 2008-11-29,-26%
2008-11-30 - 2008-12-06,-23%
2008-12-07 - 2008-12-13,-18%
2008-12-14 - 2008-12-20,-13%
2008-12-21 - 2008-12-27,-27%
2008-12-28 - 2009-01-03,-26%



Top searches
obama,100
humidifier,95
weather,80
citizen,80
taylor made,55
taylormade,50
r7,45
bumper stickers,35
weather station,30
bumper sticker,30
news,30
obama shirt,25
radiator,25
mccain,25
barack obama,25
jessica simpson,20
taylor made r7,20
miley cyrus,20
humidifiers,20
citizen watch,20



Rising searches
barack obama,Breakout
mccain,Breakout
obama shirt,Breakout
obama,+2,100%
taylor made r7,+250%
r7,+120%
radiator,+120%
taylor made,+100%
taylormade,+80%
bumper sticker,+70%



