Image Search interest
United States; Past 7 days

Interest over time
Day,Books & Literature
2014-09-12,+0%
2014-09-13,+0%
2014-09-14,-1%
2014-09-15,+6%
2014-09-16,+6%
2014-09-17, 
2014-09-18, 



Top searches
quotes,100
love,15
love quotes,15
book,10
funny quotes,5
life quotes,5
tumblr,5
tumblr quotes,5
quote,5
frases,5
quotes about life,5
poems,5
books,5
inspirational quotes,5
cute quotes,5
sayings,5
quotes about love,5
amor,0
qoutes,0
9/11,0



Rising searches
9/11,Breakout
9/11 quotes,Breakout
facebook,+60%
girl quotes,+50%
poemas,+50%



