Web Search interest
United States; Past 30 days

Interest over time
Day,Health
2014-08-18,+0%
2014-08-19,+4%
2014-08-20,+4%
2014-08-21,+2%
2014-08-22,-4%
2014-08-23,-21%
2014-08-24,-20%
2014-08-25,-3%
2014-08-26,+1%
2014-08-27,+0%
2014-08-28,-1%
2014-08-29,-8%
2014-08-30,-22%
2014-08-31,-23%
2014-09-01,-23%
2014-09-02,-1%
2014-09-03,+1%
2014-09-04,-1%
2014-09-05,-5%
2014-09-06,-21%
2014-09-07,-22%
2014-09-08,-1%
2014-09-09,+3%
2014-09-10,+1%
2014-09-11,-2%
2014-09-12,-7%
2014-09-13,-23%
2014-09-14,-23%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
walgreens,100
weed,75
als,70
ebola,70
cvs,60
diabetes,50
blood pressure,50
marijuana,45
als disease,40
walmart,40
joan rivers,40
depression,40
urgent care,35
herpes,35
birth control,30
thyroid,30
diarrhea,30
webmd,30
autism,30
twitch,25



Rising searches
steven sotloff,Breakout
enterovirus,+4,850%
joan rivers,+4,750%
5676977,+950%
als symptoms,+500%
the normal heart,+500%
als,+350%
als disease,+300%
endoscopy,+200%
amphetamine,+110%



