News Search interest
United States; 2008

Interest over time
Week,Autos & Vehicles
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+35%
2008-01-20 - 2008-01-26,-36%
2008-01-27 - 2008-02-02,-45%
2008-02-03 - 2008-02-09,-53%
2008-02-10 - 2008-02-16,-49%
2008-02-17 - 2008-02-23,-55%
2008-02-24 - 2008-03-01,-43%
2008-03-02 - 2008-03-08,-31%
2008-03-09 - 2008-03-15,-45%
2008-03-16 - 2008-03-22,-47%
2008-03-23 - 2008-03-29,-11%
2008-03-30 - 2008-04-05,-31%
2008-04-06 - 2008-04-12,-41%
2008-04-13 - 2008-04-19,-39%
2008-04-20 - 2008-04-26,-8%
2008-04-27 - 2008-05-03,-43%
2008-05-04 - 2008-05-10,-34%
2008-05-11 - 2008-05-17,-1%
2008-05-18 - 2008-05-24,-16%
2008-05-25 - 2008-05-31,-11%
2008-06-01 - 2008-06-07,-8%
2008-06-08 - 2008-06-14,-8%
2008-06-15 - 2008-06-21,+4%
2008-06-22 - 2008-06-28,-15%
2008-06-29 - 2008-07-05,-14%
2008-07-06 - 2008-07-12,-19%
2008-07-13 - 2008-07-19,-34%
2008-07-20 - 2008-07-26,-16%
2008-07-27 - 2008-08-02,-23%
2008-08-03 - 2008-08-09,-41%
2008-08-10 - 2008-08-16,-53%
2008-08-17 - 2008-08-23,-36%
2008-08-24 - 2008-08-30,-54%
2008-08-31 - 2008-09-06,-50%
2008-09-07 - 2008-09-13,-24%
2008-09-14 - 2008-09-20,-30%
2008-09-21 - 2008-09-27,-34%
2008-09-28 - 2008-10-04,-43%
2008-10-05 - 2008-10-11,-31%
2008-10-12 - 2008-10-18,-34%
2008-10-19 - 2008-10-25,-32%
2008-10-26 - 2008-11-01,-41%
2008-11-02 - 2008-11-08,-64%
2008-11-09 - 2008-11-15,-28%
2008-11-16 - 2008-11-22,+12%
2008-11-23 - 2008-11-29,-19%
2008-11-30 - 2008-12-06,-7%
2008-12-07 - 2008-12-13,-24%
2008-12-14 - 2008-12-20,-23%
2008-12-21 - 2008-12-27,+20%
2008-12-28 - 2009-01-03,-27%



Top searches
gas,100
gas prices,85
car,75
cars,60
gm gm,45
gm,45
ford,45
auto,35
honda,30
chrysler,30
toyota,30
hybrid,25
general motors,25
boeing,20
smart car,20
electric cars,15
auto show,15
tata,15
electric car,15
chevy volt,15



Rising searches
tata-motors,Breakout
chevy volt,+500%
gas,+250%
gas prices,+250%
tata,+250%
electric cars,+120%
prius,+120%
smart car,+120%
electric car,+100%
chevrolet,+90%



