News Search interest
United States; 2011

Interest over time
Week,Finance
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-8%
2011-01-16 - 2011-01-22,+2%
2011-01-23 - 2011-01-29,+3%
2011-01-30 - 2011-02-05,-3%
2011-02-06 - 2011-02-12,+0%
2011-02-13 - 2011-02-19,-5%
2011-02-20 - 2011-02-26,+0%
2011-02-27 - 2011-03-05,+6%
2011-03-06 - 2011-03-12,-8%
2011-03-13 - 2011-03-19,-9%
2011-03-20 - 2011-03-26,-11%
2011-03-27 - 2011-04-02,-5%
2011-04-03 - 2011-04-09,+2%
2011-04-10 - 2011-04-16,+16%
2011-04-17 - 2011-04-23,+11%
2011-04-24 - 2011-04-30,-8%
2011-05-01 - 2011-05-07,-11%
2011-05-08 - 2011-05-14,-2%
2011-05-15 - 2011-05-21,-12%
2011-05-22 - 2011-05-28,-16%
2011-05-29 - 2011-06-04,-14%
2011-06-05 - 2011-06-11,-11%
2011-06-12 - 2011-06-18,-3%
2011-06-19 - 2011-06-25,-9%
2011-06-26 - 2011-07-02,-3%
2011-07-03 - 2011-07-09,-14%
2011-07-10 - 2011-07-16,-5%
2011-07-17 - 2011-07-23,+2%
2011-07-24 - 2011-07-30,-2%
2011-07-31 - 2011-08-06,+31%
2011-08-07 - 2011-08-13,+56%
2011-08-14 - 2011-08-20,+13%
2011-08-21 - 2011-08-27,-14%
2011-08-28 - 2011-09-03,-22%
2011-09-04 - 2011-09-10,-11%
2011-09-11 - 2011-09-17,-6%
2011-09-18 - 2011-09-24,+2%
2011-09-25 - 2011-10-01,+16%
2011-10-02 - 2011-10-08,+14%
2011-10-09 - 2011-10-15,-6%
2011-10-16 - 2011-10-22,+0%
2011-10-23 - 2011-10-29,+16%
2011-10-30 - 2011-11-05,+16%
2011-11-06 - 2011-11-12,-11%
2011-11-13 - 2011-11-19,-9%
2011-11-20 - 2011-11-26,-12%
2011-11-27 - 2011-12-03,-2%
2011-12-04 - 2011-12-10,-14%
2011-12-11 - 2011-12-17,-6%
2011-12-18 - 2011-12-24,-12%
2011-12-25 - 2011-12-31,-16%



Top searches
bank,100
stock,45
bank of america,45
tax,35
mortgage,35
oil,30
insurance,30
credit,25
gold,25
dollar,15
stocks,15
silver,15
stock market,15
oil prices,15
mortgage rates,15
wells fargo,15
euro,15
chase,15
today,10
gold price,10



Rising searches
silver,+170%
oil prices,+100%
bank of america,+70%
gold,+60%
gold price,+60%
oil,+60%
stock,+60%
stock market,+60%
stocks,+60%
taxes,+60%



