News Search interest
United States; 2009

Interest over time
Week,Pets & Animals
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+86%
2009-01-18 - 2009-01-24,+9%
2009-01-25 - 2009-01-31,+27%
2009-02-01 - 2009-02-07,+45%
2009-02-08 - 2009-02-14,+355%
2009-02-15 - 2009-02-21,+100%
2009-02-22 - 2009-02-28,+86%
2009-03-01 - 2009-03-07,+45%
2009-03-08 - 2009-03-14,+45%
2009-03-15 - 2009-03-21,+5%
2009-03-22 - 2009-03-28,+23%
2009-03-29 - 2009-04-04,+5%
2009-04-05 - 2009-04-11,+9%
2009-04-12 - 2009-04-18,+173%
2009-04-19 - 2009-04-25,+73%
2009-04-26 - 2009-05-02,+14%
2009-05-03 - 2009-05-09,+59%
2009-05-10 - 2009-05-16,+41%
2009-05-17 - 2009-05-23,+18%
2009-05-24 - 2009-05-30,+14%
2009-05-31 - 2009-06-06,+36%
2009-06-07 - 2009-06-13,+18%
2009-06-14 - 2009-06-20,+36%
2009-06-21 - 2009-06-27,-18%
2009-06-28 - 2009-07-04,-5%
2009-07-05 - 2009-07-11,+0%
2009-07-12 - 2009-07-18,+23%
2009-07-19 - 2009-07-25,+9%
2009-07-26 - 2009-08-01,+18%
2009-08-02 - 2009-08-08,+9%
2009-08-09 - 2009-08-15,+18%
2009-08-16 - 2009-08-22,+14%
2009-08-23 - 2009-08-29,+5%
2009-08-30 - 2009-09-05,+5%
2009-09-06 - 2009-09-12,+0%
2009-09-13 - 2009-09-19,-9%
2009-09-20 - 2009-09-26,+5%
2009-09-27 - 2009-10-03,+5%
2009-10-04 - 2009-10-10,+14%
2009-10-11 - 2009-10-17,-5%
2009-10-18 - 2009-10-24,+0%
2009-10-25 - 2009-10-31,+9%
2009-11-01 - 2009-11-07,-5%
2009-11-08 - 2009-11-14,+14%
2009-11-15 - 2009-11-21,+14%
2009-11-22 - 2009-11-28,+5%
2009-11-29 - 2009-12-05,+41%
2009-12-06 - 2009-12-12,+73%
2009-12-13 - 2009-12-19,+32%
2009-12-20 - 2009-12-26,+5%
2009-12-27 - 2010-01-02,+0%



Top searches
dog,100
dog show,35
westminster dog show,30
dogs,30
animal,20
bird,20
portuguese water dog,15
cat,15
mine that bird,15
zoo,15
horses,10
horse,10
puppy,10
shark,10
peta,10
endangered species,10
animals,10
bears,10
fish,10
snake,10



Rising searches
mine that bird,Breakout
portuguese water dog,Breakout
zhu zhu pets,Breakout
chimp,+1,850%
chimpanzee,+1,500%
bird,+450%
monkey,+450%
pets,+140%
snake,+110%
peta,+70%



