Image Search interest
United States; 2008

Interest over time
Week,Computers & Electronics
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+5%
2008-01-20 - 2008-01-26,-2%
2008-01-27 - 2008-02-02,+1%
2008-02-03 - 2008-02-09,+2%
2008-02-10 - 2008-02-16,+1%
2008-02-17 - 2008-02-23,-1%
2008-02-24 - 2008-03-01,-1%
2008-03-02 - 2008-03-08,-2%
2008-03-09 - 2008-03-15,-6%
2008-03-16 - 2008-03-22,-6%
2008-03-23 - 2008-03-29,-6%
2008-03-30 - 2008-04-05,-3%
2008-04-06 - 2008-04-12,-5%
2008-04-13 - 2008-04-19,-2%
2008-04-20 - 2008-04-26,-3%
2008-04-27 - 2008-05-03,-8%
2008-05-04 - 2008-05-10,-6%
2008-05-11 - 2008-05-17,-6%
2008-05-18 - 2008-05-24,-7%
2008-05-25 - 2008-05-31,-5%
2008-06-01 - 2008-06-07,-7%
2008-06-08 - 2008-06-14,+1%
2008-06-15 - 2008-06-21,+1%
2008-06-22 - 2008-06-28,+1%
2008-06-29 - 2008-07-05,+0%
2008-07-06 - 2008-07-12,+5%
2008-07-13 - 2008-07-19,+2%
2008-07-20 - 2008-07-26,+2%
2008-07-27 - 2008-08-02,+2%
2008-08-03 - 2008-08-09,+3%
2008-08-10 - 2008-08-16,-2%
2008-08-17 - 2008-08-23,+0%
2008-08-24 - 2008-08-30,+5%
2008-08-31 - 2008-09-06,+6%
2008-09-07 - 2008-09-13,+9%
2008-09-14 - 2008-09-20,+8%
2008-09-21 - 2008-09-27,+8%
2008-09-28 - 2008-10-04,+5%
2008-10-05 - 2008-10-11,+5%
2008-10-12 - 2008-10-18,+5%
2008-10-19 - 2008-10-25,-2%
2008-10-26 - 2008-11-01,-7%
2008-11-02 - 2008-11-08,+1%
2008-11-09 - 2008-11-15,+5%
2008-11-16 - 2008-11-22,+5%
2008-11-23 - 2008-11-29,+9%
2008-11-30 - 2008-12-06,+9%
2008-12-07 - 2008-12-13,+7%
2008-12-14 - 2008-12-20,+8%
2008-12-21 - 2008-12-27,+15%
2008-12-28 - 2009-01-03,+8%



Top searches
ipod,100
computer,65
xbox,65
psp,55
apple,55
camera,45
sony,45
windows,45
sidekick,45
xbox 360,40
dell,40
hp,40
mac,35
laptop,35
tv,35
nintendo,30
ps3,30
ipod nano,30
ds,25
photoshop,25



Rising searches
macbook air,Breakout
sidekick 2008,Breakout
spore,+500%
xbox 720,+170%
nero,+80%
macbook,+70%
chrome,+60%
computadora,+60%
ps4,+50%
vector,+50%



