News Search interest
United States; 2013

Interest over time
Week,Jobs & Education
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-9%
2013-01-20 - 2013-01-26,-15%
2013-01-27 - 2013-02-02,-19%
2013-02-03 - 2013-02-09,-23%
2013-02-10 - 2013-02-16,-31%
2013-02-17 - 2013-02-23,-27%
2013-02-24 - 2013-03-02,-29%
2013-03-03 - 2013-03-09,-23%
2013-03-10 - 2013-03-16,-32%
2013-03-17 - 2013-03-23,-12%
2013-03-24 - 2013-03-30,-23%
2013-03-31 - 2013-04-06,-31%
2013-04-07 - 2013-04-13,-27%
2013-04-14 - 2013-04-20,-41%
2013-04-21 - 2013-04-27,-32%
2013-04-28 - 2013-05-04,-36%
2013-05-05 - 2013-05-11,-40%
2013-05-12 - 2013-05-18,-34%
2013-05-19 - 2013-05-25,-37%
2013-05-26 - 2013-06-01,-40%
2013-06-02 - 2013-06-08,-36%
2013-06-09 - 2013-06-15,-45%
2013-06-16 - 2013-06-22,-50%
2013-06-23 - 2013-06-29,-52%
2013-06-30 - 2013-07-06,-54%
2013-07-07 - 2013-07-13,-52%
2013-07-14 - 2013-07-20,-55%
2013-07-21 - 2013-07-27,-51%
2013-07-28 - 2013-08-03,-47%
2013-08-04 - 2013-08-10,-44%
2013-08-11 - 2013-08-17,-41%
2013-08-18 - 2013-08-24,-34%
2013-08-25 - 2013-08-31,-29%
2013-09-01 - 2013-09-07,-25%
2013-09-08 - 2013-09-14,-27%
2013-09-15 - 2013-09-21,-36%
2013-09-22 - 2013-09-28,-28%
2013-09-29 - 2013-10-05,-34%
2013-10-06 - 2013-10-12,-32%
2013-10-13 - 2013-10-19,-30%
2013-10-20 - 2013-10-26,-29%
2013-10-27 - 2013-11-02,-28%
2013-11-03 - 2013-11-09,-20%
2013-11-10 - 2013-11-16,-30%
2013-11-17 - 2013-11-23,-29%
2013-11-24 - 2013-11-30,-27%
2013-12-01 - 2013-12-07,-27%
2013-12-08 - 2013-12-14,-25%
2013-12-15 - 2013-12-21,-30%
2013-12-22 - 2013-12-28,-54%
2013-12-29 - 2014-01-04,-44%



Top searches
school,100
university,75
high school,45
college,40
notre dame,40
jobs,25
schools,20
education,15
elementary,10
teacher,10
ole miss,5
at,5
harvard,5
california,5
stanford,5
rutgers,5
yale,5
teachers,5
academy,5
test,5



Rising searches
santa monica college,+2,200%
harvard university,+550%
ohio state university,+500%
rutgers university,+400%
yale university,+350%
stanford university,+250%
ole miss,+200%
ohio university,+150%
notre dame,+120%
indeed,+90%



