News Search interest
United States; 2012

Interest over time
Week,Finance
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+9%
2012-01-15 - 2012-01-21,+0%
2012-01-22 - 2012-01-28,+13%
2012-01-29 - 2012-02-04,+22%
2012-02-05 - 2012-02-11,+12%
2012-02-12 - 2012-02-18,+9%
2012-02-19 - 2012-02-25,+18%
2012-02-26 - 2012-03-03,+6%
2012-03-04 - 2012-03-10,+5%
2012-03-11 - 2012-03-17,+9%
2012-03-18 - 2012-03-24,+4%
2012-03-25 - 2012-03-31,+4%
2012-04-01 - 2012-04-07,+4%
2012-04-08 - 2012-04-14,+5%
2012-04-15 - 2012-04-21,+11%
2012-04-22 - 2012-04-28,+7%
2012-04-29 - 2012-05-05,+9%
2012-05-06 - 2012-05-12,+10%
2012-05-13 - 2012-05-19,+21%
2012-05-20 - 2012-05-26,+13%
2012-05-27 - 2012-06-02,+7%
2012-06-03 - 2012-06-09,+5%
2012-06-10 - 2012-06-16,-2%
2012-06-17 - 2012-06-23,+7%
2012-06-24 - 2012-06-30,+13%
2012-07-01 - 2012-07-07,-4%
2012-07-08 - 2012-07-14,+11%
2012-07-15 - 2012-07-21,+11%
2012-07-22 - 2012-07-28,-2%
2012-07-29 - 2012-08-04,-6%
2012-08-05 - 2012-08-11,-10%
2012-08-12 - 2012-08-18,-1%
2012-08-19 - 2012-08-25,-11%
2012-08-26 - 2012-09-01,-24%
2012-09-02 - 2012-09-08,-18%
2012-09-09 - 2012-09-15,-20%
2012-09-16 - 2012-09-22,-5%
2012-09-23 - 2012-09-29,-10%
2012-09-30 - 2012-10-06,-2%
2012-10-07 - 2012-10-13,-17%
2012-10-14 - 2012-10-20,-20%
2012-10-21 - 2012-10-27,-24%
2012-10-28 - 2012-11-03,-43%
2012-11-04 - 2012-11-10,-33%
2012-11-11 - 2012-11-17,-30%
2012-11-18 - 2012-11-24,-40%
2012-11-25 - 2012-12-01,-27%
2012-12-02 - 2012-12-08,-22%
2012-12-09 - 2012-12-15,-27%
2012-12-16 - 2012-12-22,-33%
2012-12-23 - 2012-12-29,-38%
2012-12-30 - 2013-01-05,+6%



Top searches
bank,100
stock,50
tax,50
mortgage,45
insurance,45
bank of america,30
wells fargo,25
oil,20
chase,20
mortgage rates,20
stocks,15
gold,15
taxes,15
stock market,10
finance,10
euro,10
irs,10
downton abbey,10
credit card,10
medicare,10



Rising searches
romney tax,Breakout
romney tax returns,Breakout
facebook stock,+2,100%
tax returns,+550%
downton abbey,+500%
elizabeth warren,+130%
colorado springs,+110%
student loan,+70%
rupee,+50%
wells fargo,+50%



