Web Search interest
United States; 2005

Interest over time
Week,Computers & Electronics
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+2%
2005-01-16 - 2005-01-22,-1%
2005-01-23 - 2005-01-29,+0%
2005-01-30 - 2005-02-05,-1%
2005-02-06 - 2005-02-12,-2%
2005-02-13 - 2005-02-19,-4%
2005-02-20 - 2005-02-26,-3%
2005-02-27 - 2005-03-05,-6%
2005-03-06 - 2005-03-12,-6%
2005-03-13 - 2005-03-19,-8%
2005-03-20 - 2005-03-26,-6%
2005-03-27 - 2005-04-02,-11%
2005-04-03 - 2005-04-09,-13%
2005-04-10 - 2005-04-16,-11%
2005-04-17 - 2005-04-23,-14%
2005-04-24 - 2005-04-30,-12%
2005-05-01 - 2005-05-07,-12%
2005-05-08 - 2005-05-14,-11%
2005-05-15 - 2005-05-21,-8%
2005-05-22 - 2005-05-28,-10%
2005-05-29 - 2005-06-04,-10%
2005-06-05 - 2005-06-11,-10%
2005-06-12 - 2005-06-18,-8%
2005-06-19 - 2005-06-25,-5%
2005-06-26 - 2005-07-02,-8%
2005-07-03 - 2005-07-09,-11%
2005-07-10 - 2005-07-16,-8%
2005-07-17 - 2005-07-23,-11%
2005-07-24 - 2005-07-30,-10%
2005-07-31 - 2005-08-06,-8%
2005-08-07 - 2005-08-13,-12%
2005-08-14 - 2005-08-20,-7%
2005-08-21 - 2005-08-27,-8%
2005-08-28 - 2005-09-03,-13%
2005-09-04 - 2005-09-10,-14%
2005-09-11 - 2005-09-17,-11%
2005-09-18 - 2005-09-24,-13%
2005-09-25 - 2005-10-01,-10%
2005-10-02 - 2005-10-08,-12%
2005-10-09 - 2005-10-15,-11%
2005-10-16 - 2005-10-22,-13%
2005-10-23 - 2005-10-29,-11%
2005-10-30 - 2005-11-05,-15%
2005-11-06 - 2005-11-12,-13%
2005-11-13 - 2005-11-19,-10%
2005-11-20 - 2005-11-26,-1%
2005-11-27 - 2005-12-03,-7%
2005-12-04 - 2005-12-10,-7%
2005-12-11 - 2005-12-17,-6%
2005-12-18 - 2005-12-24,-6%
2005-12-25 - 2005-12-31,+2%



Top searches
windows,100
microsoft,45
sony,40
hp,40
ipod,40
dell,40
mac,40
linux,35
java,30
xbox,30
canon,25
windows xp,25
apple,25
adobe,25
firefox,20
psp,20
ringtones,15
spybot,15
palm,15
photoshop,15



Rising searches
ipod nano,Breakout
xbox 360,Breakout
psp,+650%
ps3,+600%
playstation 3,+250%
ipod,+140%
apple ipod,+110%
itunes,+100%
firefox,+90%
ipod mini,+80%



