Web Search interest
United States; Past 7 days

Interest over time
Day,Shopping
2014-09-11,+0%
2014-09-12,+5%
2014-09-13,+22%
2014-09-14,+20%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
amazon,100
ebay,80
walmart,80
coupons,50
netflix,50
target,40
google,35
pandora,30
xbox,30
boots,30
best buy,30
nike,30
costco,20
dresses,20
craigslist,20
nordstrom,20
kohls,15
jcpenney,15
apple,15
iphone 6,15



Rising searches
adrian peterson,+4,350%
giancarlo stanton,+3,250%
iphone 6,+200%
destiny,+120%
gazelle,+80%
otterbox,+80%
verizon wireless,+60%
north face,+50%
party city,+50%
samsung galaxy s5,+50%



