Google Shopping interest
United States; Past 30 days

Interest over time
Day,Travel
2014-08-20,+0%
2014-08-21,+8%
2014-08-22,+2%
2014-08-23,+5%
2014-08-24,+4%
2014-08-25,-1%
2014-08-26,+1%
2014-08-27,-2%
2014-08-28,-4%
2014-08-29,-1%
2014-08-30,+4%
2014-08-31,-1%
2014-09-01,-4%
2014-09-02,-13%
2014-09-03,-5%
2014-09-04,-10%
2014-09-05,-11%
2014-09-06,-10%
2014-09-07,-24%
2014-09-08,-23%
2014-09-09,-16%
2014-09-10,-19%
2014-09-11,-20%
2014-09-12,-16%
2014-09-13,-17%
2014-09-14,-15%
2014-09-15,-22%
2014-09-16,-24%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
backpack,100
backpacks,50
luggage,25
jansport,15
hotels,15
vera bradley,15
flights,10
jansport backpacks,5
southwest,5
jansport backpack,5
train,5
suitcase,5
girls backpacks,5
herschel backpack,5
knee defender,5
southwest airlines,5
north face backpack,5
delta,5
school backpacks,5
backpacks for girls,5



Rising searches
knee defender,Breakout
snapple,Breakout
snapple save,Breakout



