Image Search interest
United States; Past 90 days

Interest over time
Day,Food & Drink
2014-06-19,+0%
2014-06-20,+1%
2014-06-21,+1%
2014-06-22,+0%
2014-06-23,+1%
2014-06-24,-1%
2014-06-25,+2%
2014-06-26,+2%
2014-06-27,+5%
2014-06-28,+1%
2014-06-29,+7%
2014-06-30,-1%
2014-07-01,+7%
2014-07-02,+3%
2014-07-03,+9%
2014-07-04,+7%
2014-07-05,+5%
2014-07-06,+2%
2014-07-07,-1%
2014-07-08,+1%
2014-07-09,+3%
2014-07-10,+5%
2014-07-11,+4%
2014-07-12,+8%
2014-07-13,+4%
2014-07-14,+2%
2014-07-15,+4%
2014-07-16,+7%
2014-07-17,+3%
2014-07-18,+5%
2014-07-19,+7%
2014-07-20,+9%
2014-07-21,+3%
2014-07-22,+10%
2014-07-23,+7%
2014-07-24,+8%
2014-07-25,+4%
2014-07-26,+7%
2014-07-27,+8%
2014-07-28,-1%
2014-07-29,+3%
2014-07-30,+3%
2014-07-31,+3%
2014-08-01,+4%
2014-08-02,+2%
2014-08-03,+7%
2014-08-04,+0%
2014-08-05,+3%
2014-08-06,+7%
2014-08-07,+3%
2014-08-08,+3%
2014-08-09,+2%
2014-08-10,+2%
2014-08-11,-1%
2014-08-12,-2%
2014-08-13,+0%
2014-08-14,+0%
2014-08-15,+3%
2014-08-16,+0%
2014-08-17,+2%
2014-08-18,+3%
2014-08-19,+3%
2014-08-20,+1%
2014-08-21,+2%
2014-08-22,+5%
2014-08-23,+2%
2014-08-24,+0%
2014-08-25,-3%
2014-08-26,+1%
2014-08-27,+0%
2014-08-28,+3%
2014-08-29,-1%
2014-08-30,+2%
2014-08-31,+4%
2014-09-01,-9%
2014-09-02,-9%
2014-09-03,-8%
2014-09-04,-2%
2014-09-05,+4%
2014-09-06,+1%
2014-09-07,+0%
2014-09-08,-1%
2014-09-09,-3%
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,+8%
2014-09-13,+2%
2014-09-14,+3%
2014-09-15,+2%
2014-09-16,+5%
2014-09-17, 
2014-09-18, 



Top searches
cake,100
chicken,50
food,45
cakes,40
pizza,40
beer,40
chocolate,35
cheese,35
candy,30
fruit,25
recipes,25
ice cream,25
coffee,25
frozen,25
salad,20
birthday cake,20
cupcakes,20
rice,15
bread,15
cookies,15



Rising searches
kermit drinking tea,Breakout
lotus seed pod,+1,600%
coke,+160%
pumpkin,+120%
annabelle,+110%
zucchini,+110%
gordon ramsay,+70%
troye sivan,+70%
coca cola,+60%
frozen cakes,+50%



