Image Search interest
United States; Past 30 days

Interest over time
Day,Law & Government
2014-08-19,+0%
2014-08-20,+2%
2014-08-21,+3%
2014-08-22,+1%
2014-08-23,-10%
2014-08-24,-10%
2014-08-25,-1%
2014-08-26,+0%
2014-08-27,+7%
2014-08-28,+8%
2014-08-29,+0%
2014-08-30,-10%
2014-08-31,-8%
2014-09-01,-11%
2014-09-02,-5%
2014-09-03,-1%
2014-09-04,+2%
2014-09-05,+5%
2014-09-06,-11%
2014-09-07,-11%
2014-09-08,+2%
2014-09-09,+10%
2014-09-10,+8%
2014-09-11,+11%
2014-09-12,+6%
2014-09-13,-3%
2014-09-14,-10%
2014-09-15,+8%
2014-09-16,+14%
2014-09-17, 
2014-09-18, 



Top searches
police,100
army,60
fire,55
obama,55
navy,50
military,45
safety,35
elsa,35
jail,30
law,25
air force,25
city,25
government,20
prison,20
murder,20
bear,20
court,15
states,15
one direction,15
jason,15



Rising searches
9/11,+900%
charlotte mckinney,+350%
jack the ripper,+350%
lab safety,+350%
declaration of independence,+300%
constitution,+250%
the constitution,+250%
government,+190%
safety,+90%
prince harry,+60%



