YouTube Search interest
United States; 2011

Interest over time
Week,Home & Garden
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+1%
2011-01-16 - 2011-01-22,+14%
2011-01-23 - 2011-01-29,+5%
2011-01-30 - 2011-02-05,+0%
2011-02-06 - 2011-02-12,-4%
2011-02-13 - 2011-02-19,-3%
2011-02-20 - 2011-02-26,-1%
2011-02-27 - 2011-03-05,+8%
2011-03-06 - 2011-03-12,+14%
2011-03-13 - 2011-03-19,+9%
2011-03-20 - 2011-03-26,+8%
2011-03-27 - 2011-04-02,+10%
2011-04-03 - 2011-04-09,+15%
2011-04-10 - 2011-04-16,+13%
2011-04-17 - 2011-04-23,+10%
2011-04-24 - 2011-04-30,+10%
2011-05-01 - 2011-05-07,+12%
2011-05-08 - 2011-05-14,+21%
2011-05-15 - 2011-05-21,+17%
2011-05-22 - 2011-05-28,+17%
2011-05-29 - 2011-06-04,+23%
2011-06-05 - 2011-06-11,+22%
2011-06-12 - 2011-06-18,+18%
2011-06-19 - 2011-06-25,+17%
2011-06-26 - 2011-07-02,+21%
2011-07-03 - 2011-07-09,+27%
2011-07-10 - 2011-07-16,+22%
2011-07-17 - 2011-07-23,+28%
2011-07-24 - 2011-07-30,+19%
2011-07-31 - 2011-08-06,+18%
2011-08-07 - 2011-08-13,+14%
2011-08-14 - 2011-08-20,+15%
2011-08-21 - 2011-08-27,+13%
2011-08-28 - 2011-09-03,+15%
2011-09-04 - 2011-09-10,+13%
2011-09-11 - 2011-09-17,+10%
2011-09-18 - 2011-09-24,+8%
2011-09-25 - 2011-10-01,+12%
2011-10-02 - 2011-10-08,+9%
2011-10-09 - 2011-10-15,+12%
2011-10-16 - 2011-10-22,+8%
2011-10-23 - 2011-10-29,+9%
2011-10-30 - 2011-11-05,+13%
2011-11-06 - 2011-11-12,+9%
2011-11-13 - 2011-11-19,+9%
2011-11-20 - 2011-11-26,+13%
2011-11-27 - 2011-12-03,+17%
2011-12-04 - 2011-12-10,+15%
2011-12-11 - 2011-12-17,+14%
2011-12-18 - 2011-12-24,+14%
2011-12-25 - 2011-12-31,+15%



Top searches
bed,100
california king bed,75
on the floor,55
commercial,55
lights,45
paint,40
minecraft,30
light,20
roll up,20
toilet,20
pool,15
pretty lights,15
shower,15
flux pavillion,15
doors,10
tool,10
montage,10
saw,10
chainsaw,10
bad romance,10



Rising searches
california king bed,Breakout
drunk kitchen,Breakout
pia toscano,Breakout
roll up,Breakout
on the floor,+2,150%
minecraft,+950%
flux pavillion,+500%
mirror,+90%
bed,+80%
pretty lights,+60%



