News Search interest
United States; Past 90 days

Interest over time
Day,Home & Garden
2014-06-19,+0%
2014-06-20,-9%
2014-06-21,-5%
2014-06-22,-6%
2014-06-23,-8%
2014-06-24,-12%
2014-06-25,-9%
2014-06-26,-6%
2014-06-27,-3%
2014-06-28,+4%
2014-06-29,+4%
2014-06-30,-10%
2014-07-01,-14%
2014-07-02,-9%
2014-07-03,-22%
2014-07-04,-11%
2014-07-05,-14%
2014-07-06,-10%
2014-07-07,-12%
2014-07-08,-17%
2014-07-09,-19%
2014-07-10,-16%
2014-07-11,-12%
2014-07-12,-9%
2014-07-13,-11%
2014-07-14,-7%
2014-07-15,-5%
2014-07-16,-9%
2014-07-17,-10%
2014-07-18,-9%
2014-07-19,+1%
2014-07-20,-5%
2014-07-21,-10%
2014-07-22,-11%
2014-07-23,-15%
2014-07-24,-17%
2014-07-25,-14%
2014-07-26,+1%
2014-07-27,-1%
2014-07-28,-10%
2014-07-29,-12%
2014-07-30,-16%
2014-07-31,-16%
2014-08-01,-15%
2014-08-02,-1%
2014-08-03,-2%
2014-08-04,-12%
2014-08-05,-15%
2014-08-06,-16%
2014-08-07,-3%
2014-08-08,-21%
2014-08-09,-15%
2014-08-10,-17%
2014-08-11,-20%
2014-08-12,-29%
2014-08-13,-20%
2014-08-14,-18%
2014-08-15,-16%
2014-08-16,-12%
2014-08-17,-12%
2014-08-18,-17%
2014-08-19,-15%
2014-08-20,-14%
2014-08-21,-17%
2014-08-22,-15%
2014-08-23,+2%
2014-08-24,-10%
2014-08-25,-20%
2014-08-26,-15%
2014-08-27,-20%
2014-08-28,-21%
2014-08-29,-17%
2014-08-30,-6%
2014-08-31,-10%
2014-09-01,-11%
2014-09-02,-10%
2014-09-03,-4%
2014-09-04,+4%
2014-09-05,-10%
2014-09-06,-4%
2014-09-07,-19%
2014-09-08,-8%
2014-09-09,-11%
2014-09-10,-11%
2014-09-11,-20%
2014-09-12,-14%
2014-09-13,-6%
2014-09-14,-21%
2014-09-15,-19%
2014-09-16,-21%
2014-09-17, 
2014-09-18, 



Top searches
home depot,100
furniture,45
lowes,40
bed,35
pool,25
ge,20
paint,20
amc,20
ikea,15
mattress,15
bed bath beyond,15
shower,15
pools,15
debt,15
chandelier,15
sia chandelier,10
jabari parker,10
keurig,10
box,10
pot,10



Rising searches
argentina debt,Breakout
ge appliances,+700%
sia chandelier,+500%
myredbook,+350%
hemlock grove,+300%
chandelier,+250%
electrolux,+200%
dyson,+90%
ge,+80%
azealia banks,+60%



