News Search interest
United States; 2011

Interest over time
Week,Jobs & Education
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+6%
2011-01-16 - 2011-01-22,+9%
2011-01-23 - 2011-01-29,+17%
2011-01-30 - 2011-02-05,+20%
2011-02-06 - 2011-02-12,+11%
2011-02-13 - 2011-02-19,+11%
2011-02-20 - 2011-02-26,+12%
2011-02-27 - 2011-03-05,+29%
2011-03-06 - 2011-03-12,+15%
2011-03-13 - 2011-03-19,+11%
2011-03-20 - 2011-03-26,+15%
2011-03-27 - 2011-04-02,+23%
2011-04-03 - 2011-04-09,+14%
2011-04-10 - 2011-04-16,+18%
2011-04-17 - 2011-04-23,+9%
2011-04-24 - 2011-04-30,-2%
2011-05-01 - 2011-05-07,-9%
2011-05-08 - 2011-05-14,+5%
2011-05-15 - 2011-05-21,-2%
2011-05-22 - 2011-05-28,-8%
2011-05-29 - 2011-06-04,-3%
2011-06-05 - 2011-06-11,-2%
2011-06-12 - 2011-06-18,-6%
2011-06-19 - 2011-06-25,-9%
2011-06-26 - 2011-07-02,-11%
2011-07-03 - 2011-07-09,-17%
2011-07-10 - 2011-07-16,-17%
2011-07-17 - 2011-07-23,-18%
2011-07-24 - 2011-07-30,-15%
2011-07-31 - 2011-08-06,+3%
2011-08-07 - 2011-08-13,-9%
2011-08-14 - 2011-08-20,+21%
2011-08-21 - 2011-08-27,-8%
2011-08-28 - 2011-09-03,+11%
2011-09-04 - 2011-09-10,+32%
2011-09-11 - 2011-09-17,+26%
2011-09-18 - 2011-09-24,+26%
2011-09-25 - 2011-10-01,+20%
2011-10-02 - 2011-10-08,+20%
2011-10-09 - 2011-10-15,+21%
2011-10-16 - 2011-10-22,+14%
2011-10-23 - 2011-10-29,+24%
2011-10-30 - 2011-11-05,+24%
2011-11-06 - 2011-11-12,+23%
2011-11-13 - 2011-11-19,+52%
2011-11-20 - 2011-11-26,+47%
2011-11-27 - 2011-12-03,+35%
2011-12-04 - 2011-12-10,+48%
2011-12-11 - 2011-12-17,+20%
2011-12-18 - 2011-12-24,-3%
2011-12-25 - 2011-12-31,-17%



Top searches
school,100
university,85
college,45
jobs,40
education,30
teacher,15
notre dame,10
job,10
virginia tech,10
byu,10
teachers,10
ucla,5
harvard,5
nebraska,5
uc davis,5
yale,5
stanford,5
high school football,5
law school,5
ohio state,5



Rising searches
jimmer,+850%
jimmer fredette,+650%
uc davis,+350%
vcu,+250%
virginia tech,+140%
high school football,+100%
uc berkeley,+90%
berkeley,+70%
law school,+70%
ohio state,+70%



