YouTube Search interest
United States; 2013

Interest over time
Week,Food & Drink
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+0%
2013-01-20 - 2013-01-26,-3%
2013-01-27 - 2013-02-02,-1%
2013-02-03 - 2013-02-09,+2%
2013-02-10 - 2013-02-16,-3%
2013-02-17 - 2013-02-23,-5%
2013-02-24 - 2013-03-02,-7%
2013-03-03 - 2013-03-09,-4%
2013-03-10 - 2013-03-16,-3%
2013-03-17 - 2013-03-23,-5%
2013-03-24 - 2013-03-30,+4%
2013-03-31 - 2013-04-06,+0%
2013-04-07 - 2013-04-13,-3%
2013-04-14 - 2013-04-20,-5%
2013-04-21 - 2013-04-27,+0%
2013-04-28 - 2013-05-04,+4%
2013-05-05 - 2013-05-11,-1%
2013-05-12 - 2013-05-18,+2%
2013-05-19 - 2013-05-25,+2%
2013-05-26 - 2013-06-01,+5%
2013-06-02 - 2013-06-08,+6%
2013-06-09 - 2013-06-15,+6%
2013-06-16 - 2013-06-22,+6%
2013-06-23 - 2013-06-29,+16%
2013-06-30 - 2013-07-06,+10%
2013-07-07 - 2013-07-13,+9%
2013-07-14 - 2013-07-20,+9%
2013-07-21 - 2013-07-27,+7%
2013-07-28 - 2013-08-03,+7%
2013-08-04 - 2013-08-10,+9%
2013-08-11 - 2013-08-17,+11%
2013-08-18 - 2013-08-24,+11%
2013-08-25 - 2013-08-31,+0%
2013-09-01 - 2013-09-07,+14%
2013-09-08 - 2013-09-14,+6%
2013-09-15 - 2013-09-21,+9%
2013-09-22 - 2013-09-28,+9%
2013-09-29 - 2013-10-05,+7%
2013-10-06 - 2013-10-12,+15%
2013-10-13 - 2013-10-19,+14%
2013-10-20 - 2013-10-26,+11%
2013-10-27 - 2013-11-02,+10%
2013-11-03 - 2013-11-09,+16%
2013-11-10 - 2013-11-16,+14%
2013-11-17 - 2013-11-23,+14%
2013-11-24 - 2013-11-30,+25%
2013-12-01 - 2013-12-07,+7%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,+6%
2013-12-22 - 2013-12-28,+16%
2013-12-29 - 2014-01-04,+21%



Top searches
cake,100
vine,95
mac miller,90
food,65
candy,65
ariana grande,65
the way,60
gummy bear,60
vines,55
slender,50
chocolate,45
gummy bear song,45
cooking,40
pizza,40
cheese,35
mcdonalds,30
best vines,30
candy crush,25
vine compilation,25
ice cream,25



Rising searches
best vines,Breakout
vine,Breakout
vine compilation,Breakout
vines,Breakout
vines 2013,Breakout
ariana grande,+4,300%
how many drinks,+3,500%
candy crush,+3,450%
the way,+1,950%
paula deen,+300%



