Web Search interest
United States; Past 30 days

Interest over time
Day,Travel
2014-08-18,+0%
2014-08-19,-3%
2014-08-20,-7%
2014-08-21,-6%
2014-08-22,-6%
2014-08-23,-3%
2014-08-24,-4%
2014-08-25,-7%
2014-08-26,-7%
2014-08-27,-9%
2014-08-28,-2%
2014-08-29,-4%
2014-08-30,-1%
2014-08-31,-4%
2014-09-01,-8%
2014-09-02,-14%
2014-09-03,-14%
2014-09-04,-13%
2014-09-05,-15%
2014-09-06,-13%
2014-09-07,-16%
2014-09-08,-15%
2014-09-09,-18%
2014-09-10,-17%
2014-09-11,-15%
2014-09-12,-16%
2014-09-13,-16%
2014-09-14,-17%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
beach,100
hotels,95
flights,80
southwest,80
las vegas,75
flight,60
united,50
southwest airlines,50
delta,50
american,45
car rental,45
united airlines,35
expedia,35
american airlines,30
marriott,30
hilton,30
zoo,30
enterprise,25
amtrak,25
tripadvisor,25



Rising searches
joan river,Breakout
knee defender,Breakout
snapple save,Breakout
snapple save agt,Breakout
isis vs isil,+2,200%
isil,+1,300%
electric zoo,+600%
norwegian cruise line,+250%
amtrak schedule,+90%
disneyland hours,+70%



