Web Search interest
United States; Past 90 days

Interest over time
Day,Real Estate
2014-06-18,+0%
2014-06-19,-4%
2014-06-20,-5%
2014-06-21,-10%
2014-06-22,-9%
2014-06-23,-1%
2014-06-24,-1%
2014-06-25,-5%
2014-06-26,-9%
2014-06-27,-7%
2014-06-28,-10%
2014-06-29,-8%
2014-06-30,-5%
2014-07-01,-6%
2014-07-02,-1%
2014-07-03,-7%
2014-07-04,-15%
2014-07-05,-8%
2014-07-06,-4%
2014-07-07,+4%
2014-07-08,-4%
2014-07-09,-2%
2014-07-10,-1%
2014-07-11,-5%
2014-07-12,-9%
2014-07-13,-11%
2014-07-14,+1%
2014-07-15,+0%
2014-07-16,+1%
2014-07-17,-6%
2014-07-18,-8%
2014-07-19,-8%
2014-07-20,-6%
2014-07-21,-1%
2014-07-22,-3%
2014-07-23,+2%
2014-07-24,-3%
2014-07-25,-4%
2014-07-26,-7%
2014-07-27,-5%
2014-07-28,+0%
2014-07-29,+1%
2014-07-30,-1%
2014-07-31,-2%
2014-08-01,-5%
2014-08-02,-9%
2014-08-03,-7%
2014-08-04,+0%
2014-08-05,-1%
2014-08-06,-5%
2014-08-07,-7%
2014-08-08,-11%
2014-08-09,-14%
2014-08-10,-11%
2014-08-11,-7%
2014-08-12,-14%
2014-08-13,-9%
2014-08-14,-6%
2014-08-15,-14%
2014-08-16,-14%
2014-08-17,-14%
2014-08-18,-6%
2014-08-19,-9%
2014-08-20,-8%
2014-08-21,-11%
2014-08-22,-12%
2014-08-23,-17%
2014-08-24,-15%
2014-08-25,-8%
2014-08-26,-11%
2014-08-27,-14%
2014-08-28,-18%
2014-08-29,-17%
2014-08-30,-20%
2014-08-31,-20%
2014-09-01,-17%
2014-09-02,-11%
2014-09-03,-15%
2014-09-04,-17%
2014-09-05,-18%
2014-09-06,-22%
2014-09-07,-24%
2014-09-08,-12%
2014-09-09,-17%
2014-09-10,-18%
2014-09-11,-22%
2014-09-12,-22%
2014-09-13,-24%
2014-09-14,-25%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
apartments,100
rent,90
for rent,75
zillow,50
homes for sale,50
real,45
real estate,45
house,40
houses,40
florida,30
home,25
houses for rent,20
homes for rent,20
apartments for rent,20
realtor,15
houses for sale,15
orlando,10
trulia,10
vrbo,10
tulsa,10



Rising searches
ryan dorsey,Breakout
david wilson,+700%
fixer upper hgtv,+300%
sia,+300%
tiny houses,+150%
tiny house plans,+140%
fyf fest,+110%
google location history,+110%
door county,+90%
twiddy,+80%



