News Search interest
United States; Past 30 days

Interest over time
Day,Jobs & Education
2014-08-19,+0%
2014-08-20,+5%
2014-08-21,+5%
2014-08-22,+5%
2014-08-23,-4%
2014-08-24,-22%
2014-08-25,+1%
2014-08-26,+5%
2014-08-27,+12%
2014-08-28,+5%
2014-08-29,+12%
2014-08-30,+27%
2014-08-31,+6%
2014-09-01,-13%
2014-09-02,+3%
2014-09-03,+3%
2014-09-04,+3%
2014-09-05,+10%
2014-09-06,+17%
2014-09-07,+28%
2014-09-08,+6%
2014-09-09,+18%
2014-09-10,+14%
2014-09-11,+3%
2014-09-12,+5%
2014-09-13,+13%
2014-09-14,+5%
2014-09-15,+1%
2014-09-16,+12%
2014-09-17, 
2014-09-18, 



Top searches
school,100
high school,50
college,35
jobs,25
schools,15
education,15
high school football,15
notre dame,10
job,10
teacher,10
pennsylvania state university,10
als,10
uber,5
texas,5
colleges,5
ohio state,5
academy,5
usc,5
byu,5
michigan state university,5



Rising searches
michigan state university,Breakout
pennsylvania state university,Breakout
als,+250%
high school football,+250%
virginia tech,+200%
rutgers,+160%
us news,+120%
boston college,+110%
notre dame football,+80%
high school,+70%



