YouTube Search interest
United States; Past 7 days

Interest over time
Day,Law & Government
2014-09-13,+0%
2014-09-14,-4%
2014-09-15,+10%
2014-09-16,+13%
2014-09-17,+20%
2014-09-18, 
2014-09-19, 



Top searches
gambino,100
childish gambino,100
police,45
obama,40
schoolhouse rock,30
3005 childish gambino,25
fire,20
one direction,20
murder,15
constitution,15
isis,15
obama speech,10
preamble,10
prison,10
obama speech isis,10



Rising searches
constitution,+300%
preamble,+300%
schoolhouse rock,+70%



