News Search interest
United States; Past 12 months

Interest over time
Week,Games
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-24%
2013-09-29 - 2013-10-05,-16%
2013-10-06 - 2013-10-12,-38%
2013-10-13 - 2013-10-19,-34%
2013-10-20 - 2013-10-26,-35%
2013-10-27 - 2013-11-02,-35%
2013-11-03 - 2013-11-09,-23%
2013-11-10 - 2013-11-16,+2%
2013-11-17 - 2013-11-23,+8%
2013-11-24 - 2013-11-30,-10%
2013-12-01 - 2013-12-07,-38%
2013-12-08 - 2013-12-14,-20%
2013-12-15 - 2013-12-21,-5%
2013-12-22 - 2013-12-28,-26%
2013-12-29 - 2014-01-04,-39%
2014-01-05 - 2014-01-11,-43%
2014-01-12 - 2014-01-18,-44%
2014-01-19 - 2014-01-25,-41%
2014-01-26 - 2014-02-01,-39%
2014-02-02 - 2014-02-08,-42%
2014-02-09 - 2014-02-15,-35%
2014-02-16 - 2014-02-22,-34%
2014-02-23 - 2014-03-01,-41%
2014-03-02 - 2014-03-08,-42%
2014-03-09 - 2014-03-15,-45%
2014-03-16 - 2014-03-22,-41%
2014-03-23 - 2014-03-29,-44%
2014-03-30 - 2014-04-05,-44%
2014-04-06 - 2014-04-12,-44%
2014-04-13 - 2014-04-19,-43%
2014-04-20 - 2014-04-26,-43%
2014-04-27 - 2014-05-03,-31%
2014-05-04 - 2014-05-10,-39%
2014-05-11 - 2014-05-17,-43%
2014-05-18 - 2014-05-24,-40%
2014-05-25 - 2014-05-31,-44%
2014-06-01 - 2014-06-07,-37%
2014-06-08 - 2014-06-14,-25%
2014-06-15 - 2014-06-21,-42%
2014-06-22 - 2014-06-28,-45%
2014-06-29 - 2014-07-05,-44%
2014-07-06 - 2014-07-12,-49%
2014-07-13 - 2014-07-19,-48%
2014-07-20 - 2014-07-26,-46%
2014-07-27 - 2014-08-02,-45%
2014-08-03 - 2014-08-09,-44%
2014-08-10 - 2014-08-16,-44%
2014-08-17 - 2014-08-23,-44%
2014-08-24 - 2014-08-30,-43%
2014-08-31 - 2014-09-06,-45%
2014-09-07 - 2014-09-13,-48%
2014-09-14 - 2014-09-20,-49%



Top searches
xbox,100
xbox one,70
ps4,50
gta,50
games,40
playstation,35
playstation 4,25
gta 5,25
lottery,25
game,25
pokemon,25
wii,20
nintendo,20
wii u,15
grand theft auto,15
mega millions,15
ps3,15
xbox 360,15
powerball,15
call of duty,10



Rising searches
gta online,+4,650%
xbox one,+190%
gta 5,+170%
gta,+160%
smash bros,+160%
fifa,+150%
mega millions,+110%
gta v,+100%
playstation 4,+80%
pokemon,+70%



