Web Search interest
United States; Past 7 days

Interest over time
Day,Arts & Entertainment
2014-09-11,+0%
2014-09-12,+2%
2014-09-13,+18%
2014-09-14,+13%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
youtube,100
you,25
movies,25
google,20
netflix,20
music,20
facebook,10
imdb,5
sons of anarchy,5
disney,5
you tube,5
nicki minaj,5
big brother,5
worldstarhiphop,5
instagram,5
amazon,5
beyonce,5
people,5
youtube to mp3,5
redbox,5



Rising searches
richard kiel,Breakout
no good deed,+550%
u2,+450%
biggest loser,+400%
destiny,+150%
captain america,+90%
apple watch,+70%
nicki minaj,+70%
chris brown,+60%
iggy azalea,+60%



