News Search interest
United States; 2009

Interest over time
Week,Autos & Vehicles
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+43%
2009-01-18 - 2009-01-24,-26%
2009-01-25 - 2009-01-31,-26%
2009-02-01 - 2009-02-07,-34%
2009-02-08 - 2009-02-14,-36%
2009-02-15 - 2009-02-21,-19%
2009-02-22 - 2009-02-28,-23%
2009-03-01 - 2009-03-07,-2%
2009-03-08 - 2009-03-14,-6%
2009-03-15 - 2009-03-21,-21%
2009-03-22 - 2009-03-28,+2%
2009-03-29 - 2009-04-04,+21%
2009-04-05 - 2009-04-11,+15%
2009-04-12 - 2009-04-18,+11%
2009-04-19 - 2009-04-25,+17%
2009-04-26 - 2009-05-02,+8%
2009-05-03 - 2009-05-09,+2%
2009-05-10 - 2009-05-16,+89%
2009-05-17 - 2009-05-23,+32%
2009-05-24 - 2009-05-30,+30%
2009-05-31 - 2009-06-06,+66%
2009-06-07 - 2009-06-13,+34%
2009-06-14 - 2009-06-20,+19%
2009-06-21 - 2009-06-27,-4%
2009-06-28 - 2009-07-04,+2%
2009-07-05 - 2009-07-11,+8%
2009-07-12 - 2009-07-18,+15%
2009-07-19 - 2009-07-25,+23%
2009-07-26 - 2009-08-01,+38%
2009-08-02 - 2009-08-08,+42%
2009-08-09 - 2009-08-15,+34%
2009-08-16 - 2009-08-22,+17%
2009-08-23 - 2009-08-29,+19%
2009-08-30 - 2009-09-05,+4%
2009-09-06 - 2009-09-12,-8%
2009-09-13 - 2009-09-19,-13%
2009-09-20 - 2009-09-26,-2%
2009-09-27 - 2009-10-03,+11%
2009-10-04 - 2009-10-10,-2%
2009-10-11 - 2009-10-17,-6%
2009-10-18 - 2009-10-24,-4%
2009-10-25 - 2009-10-31,+2%
2009-11-01 - 2009-11-07,+15%
2009-11-08 - 2009-11-14,+0%
2009-11-15 - 2009-11-21,-6%
2009-11-22 - 2009-11-28,-2%
2009-11-29 - 2009-12-05,-4%
2009-12-06 - 2009-12-12,-15%
2009-12-13 - 2009-12-19,-8%
2009-12-20 - 2009-12-26,-6%
2009-12-27 - 2010-01-02,+8%



Top searches
gm,100
gm gm,100
chrysler,80
ford,50
car,45
toyota,30
general motors,30
cars,30
auto,30
honda,25
opel,20
boeing,15
fiat,15
prius,15
saturn,10
saab,10
hybrid,10
nissan,10
bmw,10
motorcycle,10



Rising searches
chrysler dealers,Breakout
chrysler dealerships,Breakout
clunkers,Breakout
gm dealers,Breakout
opel,+1,250%
saab,+800%
fiat,+400%
camaro,+250%
pontiac,+250%
chrysler,+140%



