YouTube Search interest
United States; 2012

Interest over time
Week,Law & Government
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+3%
2012-01-15 - 2012-01-21,+3%
2012-01-22 - 2012-01-28,+10%
2012-01-29 - 2012-02-04,+3%
2012-02-05 - 2012-02-11,+0%
2012-02-12 - 2012-02-18,+0%
2012-02-19 - 2012-02-25,-2%
2012-02-26 - 2012-03-03,+2%
2012-03-04 - 2012-03-10,+0%
2012-03-11 - 2012-03-17,+5%
2012-03-18 - 2012-03-24,+7%
2012-03-25 - 2012-03-31,+10%
2012-04-01 - 2012-04-07,+5%
2012-04-08 - 2012-04-14,+12%
2012-04-15 - 2012-04-21,+10%
2012-04-22 - 2012-04-28,+17%
2012-04-29 - 2012-05-05,+8%
2012-05-06 - 2012-05-12,+10%
2012-05-13 - 2012-05-19,+13%
2012-05-20 - 2012-05-26,+7%
2012-05-27 - 2012-06-02,+13%
2012-06-03 - 2012-06-09,+10%
2012-06-10 - 2012-06-16,+8%
2012-06-17 - 2012-06-23,+8%
2012-06-24 - 2012-06-30,+7%
2012-07-01 - 2012-07-07,+2%
2012-07-08 - 2012-07-14,+5%
2012-07-15 - 2012-07-21,+10%
2012-07-22 - 2012-07-28,+8%
2012-07-29 - 2012-08-04,+3%
2012-08-05 - 2012-08-11,+2%
2012-08-12 - 2012-08-18,+12%
2012-08-19 - 2012-08-25,+10%
2012-08-26 - 2012-09-01,+15%
2012-09-02 - 2012-09-08,+23%
2012-09-09 - 2012-09-15,+18%
2012-09-16 - 2012-09-22,+17%
2012-09-23 - 2012-09-29,+28%
2012-09-30 - 2012-10-06,+30%
2012-10-07 - 2012-10-13,+23%
2012-10-14 - 2012-10-20,+28%
2012-10-21 - 2012-10-27,+28%
2012-10-28 - 2012-11-03,+17%
2012-11-04 - 2012-11-10,+67%
2012-11-11 - 2012-11-17,+27%
2012-11-18 - 2012-11-24,+13%
2012-11-25 - 2012-12-01,+17%
2012-12-02 - 2012-12-08,+20%
2012-12-09 - 2012-12-15,+27%
2012-12-16 - 2012-12-22,+23%
2012-12-23 - 2012-12-29,+12%
2012-12-30 - 2013-01-05,+15%



Top searches
obama,100
one direction,85
gambino,60
childish gambino,60
police,50
one thing,30
thrift shop,25
army,25
navy,20
shooting,20
macklemore thrift shop,20
gang,20
military,15
childish gambino heartbeat,15
heartbeat,15
obama speech,15
barack obama,10
marines,10
prison,10
tigres del norte,10



Rising searches
macklemore thrift shop,Breakout
one thing,Breakout
thrift shop,Breakout
one direction,+2,350%
childish gambino heartbeat,+650%
heartbeat,+650%
barack obama,+120%
obama,+90%
childish gambino,+60%
gambino,+60%



