News Search interest
United States; 2009

Interest over time
Week,News
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+8%
2009-01-18 - 2009-01-24,+108%
2009-01-25 - 2009-01-31,+4%
2009-02-01 - 2009-02-07,+0%
2009-02-08 - 2009-02-14,+31%
2009-02-15 - 2009-02-21,+35%
2009-02-22 - 2009-02-28,+6%
2009-03-01 - 2009-03-07,+4%
2009-03-08 - 2009-03-14,-10%
2009-03-15 - 2009-03-21,+38%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-19%
2009-04-05 - 2009-04-11,-25%
2009-04-12 - 2009-04-18,-17%
2009-04-19 - 2009-04-25,-25%
2009-04-26 - 2009-05-02,-35%
2009-05-03 - 2009-05-09,-25%
2009-05-10 - 2009-05-16,-21%
2009-05-17 - 2009-05-23,-27%
2009-05-24 - 2009-05-30,-21%
2009-05-31 - 2009-06-06,-21%
2009-06-07 - 2009-06-13,-8%
2009-06-14 - 2009-06-20,-15%
2009-06-21 - 2009-06-27,-19%
2009-06-28 - 2009-07-04,-15%
2009-07-05 - 2009-07-11,-12%
2009-07-12 - 2009-07-18,-8%
2009-07-19 - 2009-07-25,-4%
2009-07-26 - 2009-08-01,-17%
2009-08-02 - 2009-08-08,-15%
2009-08-09 - 2009-08-15,-17%
2009-08-16 - 2009-08-22,-19%
2009-08-23 - 2009-08-29,-10%
2009-08-30 - 2009-09-05,-8%
2009-09-06 - 2009-09-12,+8%
2009-09-13 - 2009-09-19,-12%
2009-09-20 - 2009-09-26,-8%
2009-09-27 - 2009-10-03,-8%
2009-10-04 - 2009-10-10,-19%
2009-10-11 - 2009-10-17,-23%
2009-10-18 - 2009-10-24,-23%
2009-10-25 - 2009-10-31,-29%
2009-11-01 - 2009-11-07,-4%
2009-11-08 - 2009-11-14,-8%
2009-11-15 - 2009-11-21,-15%
2009-11-22 - 2009-11-28,-29%
2009-11-29 - 2009-12-05,-29%
2009-12-06 - 2009-12-12,-25%
2009-12-13 - 2009-12-19,-31%
2009-12-20 - 2009-12-26,+8%
2009-12-27 - 2010-01-02,-2%



Top searches
news,100
obama,65
pattinson,50
robert pattinson,45
inauguration,40
palin,30
weather,30
stimulus,30
natasha richardson,25
sarah palin,15
miley cyrus,15
cnn,15
health care,15
carrie prejean,15
obama inauguration,10
chris brown,10
jon gosselin,10
britney,10
britney spears,10
aniston,10



Rising searches
carrie prejean,Breakout
chris brown,Breakout
jon gosselin,Breakout
natasha richardson,Breakout
obama inauguration,+1,800%
inauguration,+1,700%
kristen stewart,+1,700%
pattinson,+700%
robert pattinson,+700%
health care,+500%



