News Search interest
United States; 2010

Interest over time
Week,People & Society
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+27%
2010-01-17 - 2010-01-23,+18%
2010-01-24 - 2010-01-30,+9%
2010-01-31 - 2010-02-06,+16%
2010-02-07 - 2010-02-13,+16%
2010-02-14 - 2010-02-20,+20%
2010-02-21 - 2010-02-27,+21%
2010-02-28 - 2010-03-06,+36%
2010-03-07 - 2010-03-13,+38%
2010-03-14 - 2010-03-20,+38%
2010-03-21 - 2010-03-27,+75%
2010-03-28 - 2010-04-03,+39%
2010-04-04 - 2010-04-10,+43%
2010-04-11 - 2010-04-17,+36%
2010-04-18 - 2010-04-24,+25%
2010-04-25 - 2010-05-01,+32%
2010-05-02 - 2010-05-08,+64%
2010-05-09 - 2010-05-15,+32%
2010-05-16 - 2010-05-22,+54%
2010-05-23 - 2010-05-29,+79%
2010-05-30 - 2010-06-05,+61%
2010-06-06 - 2010-06-12,+50%
2010-06-13 - 2010-06-19,+61%
2010-06-20 - 2010-06-26,+20%
2010-06-27 - 2010-07-03,+23%
2010-07-04 - 2010-07-10,+4%
2010-07-11 - 2010-07-17,+27%
2010-07-18 - 2010-07-24,+36%
2010-07-25 - 2010-07-31,+71%
2010-08-01 - 2010-08-07,+39%
2010-08-08 - 2010-08-14,+23%
2010-08-15 - 2010-08-21,+38%
2010-08-22 - 2010-08-28,+23%
2010-08-29 - 2010-09-04,+14%
2010-09-05 - 2010-09-11,+55%
2010-09-12 - 2010-09-18,+36%
2010-09-19 - 2010-09-25,+48%
2010-09-26 - 2010-10-02,+52%
2010-10-03 - 2010-10-09,+36%
2010-10-10 - 2010-10-16,+43%
2010-10-17 - 2010-10-23,+29%
2010-10-24 - 2010-10-30,+25%
2010-10-31 - 2010-11-06,+5%
2010-11-07 - 2010-11-13,+20%
2010-11-14 - 2010-11-20,+27%
2010-11-21 - 2010-11-27,+27%
2010-11-28 - 2010-12-04,+48%
2010-12-05 - 2010-12-11,+43%
2010-12-12 - 2010-12-18,+32%
2010-12-19 - 2010-12-25,+29%
2010-12-26 - 2011-01-01,+25%



Top searches
jesus,100
jesus loves you,95
india,50
immigration,40
health care,40
wikileaks,35
ufo,30
illegal immigration,25
marriage,20
mosque,20
harry potter,15
ethiopia,15
greece,15
economy,15
divorce,15
pope,10
immigration reform,10
nuclear,10
kendra,10
islam,10



Rising searches
jesus loves you,Breakout
wikileaks,+4,750%
mosque,+2,700%
jesus,+2,050%
greece,+300%
illegal immigration,+300%
immigration,+190%
islam,+170%
immigration reform,+160%
ufo,+70%



