News Search interest
United States; 2009

Interest over time
Week,Health
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-13%
2009-01-18 - 2009-01-24,+78%
2009-01-25 - 2009-01-31,+22%
2009-02-01 - 2009-02-07,+43%
2009-02-08 - 2009-02-14,-13%
2009-02-15 - 2009-02-21,-26%
2009-02-22 - 2009-02-28,-22%
2009-03-01 - 2009-03-07,-17%
2009-03-08 - 2009-03-14,-17%
2009-03-15 - 2009-03-21,-26%
2009-03-22 - 2009-03-28,-13%
2009-03-29 - 2009-04-04,+0%
2009-04-05 - 2009-04-11,-17%
2009-04-12 - 2009-04-18,-13%
2009-04-19 - 2009-04-25,+13%
2009-04-26 - 2009-05-02,+335%
2009-05-03 - 2009-05-09,+91%
2009-05-10 - 2009-05-16,+17%
2009-05-17 - 2009-05-23,+13%
2009-05-24 - 2009-05-30,-4%
2009-05-31 - 2009-06-06,-13%
2009-06-07 - 2009-06-13,-4%
2009-06-14 - 2009-06-20,+0%
2009-06-21 - 2009-06-27,-13%
2009-06-28 - 2009-07-04,-9%
2009-07-05 - 2009-07-11,-13%
2009-07-12 - 2009-07-18,+0%
2009-07-19 - 2009-07-25,+4%
2009-07-26 - 2009-08-01,+9%
2009-08-02 - 2009-08-08,+9%
2009-08-09 - 2009-08-15,+4%
2009-08-16 - 2009-08-22,+4%
2009-08-23 - 2009-08-29,+0%
2009-08-30 - 2009-09-05,+4%
2009-09-06 - 2009-09-12,+0%
2009-09-13 - 2009-09-19,+0%
2009-09-20 - 2009-09-26,+9%
2009-09-27 - 2009-10-03,+13%
2009-10-04 - 2009-10-10,+13%
2009-10-11 - 2009-10-17,+17%
2009-10-18 - 2009-10-24,+35%
2009-10-25 - 2009-10-31,+30%
2009-11-01 - 2009-11-07,+22%
2009-11-08 - 2009-11-14,+22%
2009-11-15 - 2009-11-21,+17%
2009-11-22 - 2009-11-28,-9%
2009-11-29 - 2009-12-05,-4%
2009-12-06 - 2009-12-12,-9%
2009-12-13 - 2009-12-19,-9%
2009-12-20 - 2009-12-26,-9%
2009-12-27 - 2010-01-02,-22%



Top searches
flu,100
swine,85
swine flu,80
health,35
flu symptoms,35
swine flu symptoms,35
peanut butter,25
marijuana,25
health care,20
h1n1,20
peanut recall,15
cancer,15
vaccine,15
peanut butter recall,15
gripe,15
symptoms of swine,10
influenza,10
flu vaccine,10
the flu,10
gripe porcina,10



Rising searches
flu symptoms,Breakout
gripe,Breakout
h1n1,Breakout
peanut butter,Breakout
peanut butter recall,Breakout
peanut recall,Breakout
swine,Breakout
swine flu,Breakout
swine flu symptoms,Breakout
flu,+750%



