News Search interest
United States; 2009

Interest over time
Week,Real Estate
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-20%
2009-01-18 - 2009-01-24,-38%
2009-01-25 - 2009-01-31,-6%
2009-02-01 - 2009-02-07,-15%
2009-02-08 - 2009-02-14,-21%
2009-02-15 - 2009-02-21,+1%
2009-02-22 - 2009-02-28,+4%
2009-03-01 - 2009-03-07,+18%
2009-03-08 - 2009-03-14,+17%
2009-03-15 - 2009-03-21,+3%
2009-03-22 - 2009-03-28,+7%
2009-03-29 - 2009-04-04,+11%
2009-04-05 - 2009-04-11,+15%
2009-04-12 - 2009-04-18,+3%
2009-04-19 - 2009-04-25,-1%
2009-04-26 - 2009-05-02,-18%
2009-05-03 - 2009-05-09,-6%
2009-05-10 - 2009-05-16,-1%
2009-05-17 - 2009-05-23,-10%
2009-05-24 - 2009-05-30,+11%
2009-05-31 - 2009-06-06,+20%
2009-06-07 - 2009-06-13,+17%
2009-06-14 - 2009-06-20,+17%
2009-06-21 - 2009-06-27,+15%
2009-06-28 - 2009-07-04,+4%
2009-07-05 - 2009-07-11,+13%
2009-07-12 - 2009-07-18,+32%
2009-07-19 - 2009-07-25,+28%
2009-07-26 - 2009-08-01,+41%
2009-08-02 - 2009-08-08,+18%
2009-08-09 - 2009-08-15,+21%
2009-08-16 - 2009-08-22,+20%
2009-08-23 - 2009-08-29,+17%
2009-08-30 - 2009-09-05,+14%
2009-09-06 - 2009-09-12,+6%
2009-09-13 - 2009-09-19,-10%
2009-09-20 - 2009-09-26,+18%
2009-09-27 - 2009-10-03,+8%
2009-10-04 - 2009-10-10,+7%
2009-10-11 - 2009-10-17,+18%
2009-10-18 - 2009-10-24,+15%
2009-10-25 - 2009-10-31,+20%
2009-11-01 - 2009-11-07,+25%
2009-11-08 - 2009-11-14,+11%
2009-11-15 - 2009-11-21,+3%
2009-11-22 - 2009-11-28,-1%
2009-11-29 - 2009-12-05,-3%
2009-12-06 - 2009-12-12,+6%
2009-12-13 - 2009-12-19,+1%
2009-12-20 - 2009-12-26,-8%
2009-12-27 - 2010-01-02,-4%



Top searches
real,100
real estate,90
housing,60
florida,55
home,35
house,35
homes,35
rent,20
foreclosures,20
housing market,15
apartments,15
houses,15
orlando,10
commercial real estate,10
knight frank,10
tulsa,10
homes for sale,10
apartment,10
real estate market,10
mls,10



Rising searches
housing credit,Breakout
housing tax credit,Breakout
jersey shore,Breakout
pensacola,+140%
tulsa,+140%
jersey city,+130%
reit,+110%
commercial real estate,+90%
homes for sale,+70%
apartment,+50%



