News Search interest
United States; 2013

Interest over time
Week,Arts & Entertainment
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+0%
2013-01-20 - 2013-01-26,-5%
2013-01-27 - 2013-02-02,-8%
2013-02-03 - 2013-02-09,-5%
2013-02-10 - 2013-02-16,+8%
2013-02-17 - 2013-02-23,+0%
2013-02-24 - 2013-03-02,+6%
2013-03-03 - 2013-03-09,+5%
2013-03-10 - 2013-03-16,+3%
2013-03-17 - 2013-03-23,-1%
2013-03-24 - 2013-03-30,-7%
2013-03-31 - 2013-04-06,+2%
2013-04-07 - 2013-04-13,+3%
2013-04-14 - 2013-04-20,-16%
2013-04-21 - 2013-04-27,+1%
2013-04-28 - 2013-05-04,-1%
2013-05-05 - 2013-05-11,+0%
2013-05-12 - 2013-05-18,+6%
2013-05-19 - 2013-05-25,+3%
2013-05-26 - 2013-06-01,-3%
2013-06-02 - 2013-06-08,-14%
2013-06-09 - 2013-06-15,-14%
2013-06-16 - 2013-06-22,-6%
2013-06-23 - 2013-06-29,-16%
2013-06-30 - 2013-07-06,-10%
2013-07-07 - 2013-07-13,-10%
2013-07-14 - 2013-07-20,+9%
2013-07-21 - 2013-07-27,+13%
2013-07-28 - 2013-08-03,+9%
2013-08-04 - 2013-08-10,+0%
2013-08-11 - 2013-08-17,-2%
2013-08-18 - 2013-08-24,-6%
2013-08-25 - 2013-08-31,+15%
2013-09-01 - 2013-09-07,-3%
2013-09-08 - 2013-09-14,-7%
2013-09-15 - 2013-09-21,-11%
2013-09-22 - 2013-09-28,-5%
2013-09-29 - 2013-10-05,-10%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,-14%
2013-10-20 - 2013-10-26,-14%
2013-10-27 - 2013-11-02,-10%
2013-11-03 - 2013-11-09,-11%
2013-11-10 - 2013-11-16,-6%
2013-11-17 - 2013-11-23,-14%
2013-11-24 - 2013-11-30,-6%
2013-12-01 - 2013-12-07,-11%
2013-12-08 - 2013-12-14,-10%
2013-12-15 - 2013-12-21,-3%
2013-12-22 - 2013-12-28,-7%
2013-12-29 - 2014-01-04,-11%



Top searches
miley cyrus,100
youtube,85
kanye west,40
kardashian,40
kate middleton,40
selena gomez,40
music,35
breaking bad,35
walking dead,30
kristen stewart,30
movies,30
taylor swift,30
lady gaga,25
chris brown,25
rihanna,25
snl,25
beyonce,25
robert pattinson,25
google,25
lil wayne,25



Rising searches
amanda bynes,+400%
breaking bad,+250%
kanye west,+250%
miley cyrus,+250%
kim kardashian,+200%
snl,+190%
star wars,+70%
google,+60%
kardashian,+60%
lady gaga,+50%



