YouTube Search interest
United States; 2010

Interest over time
Week,Real Estate
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-1%
2010-01-17 - 2010-01-23,+2%
2010-01-24 - 2010-01-30,-5%
2010-01-31 - 2010-02-06,-19%
2010-02-07 - 2010-02-13,-22%
2010-02-14 - 2010-02-20,-31%
2010-02-21 - 2010-02-27,-26%
2010-02-28 - 2010-03-06,-31%
2010-03-07 - 2010-03-13,-26%
2010-03-14 - 2010-03-20,-33%
2010-03-21 - 2010-03-27,-31%
2010-03-28 - 2010-04-03,-30%
2010-04-04 - 2010-04-10,-33%
2010-04-11 - 2010-04-17,-31%
2010-04-18 - 2010-04-24,-28%
2010-04-25 - 2010-05-01,-28%
2010-05-02 - 2010-05-08,-31%
2010-05-09 - 2010-05-15,-29%
2010-05-16 - 2010-05-22,-30%
2010-05-23 - 2010-05-29,-33%
2010-05-30 - 2010-06-05,-30%
2010-06-06 - 2010-06-12,-31%
2010-06-13 - 2010-06-19,-34%
2010-06-20 - 2010-06-26,-28%
2010-06-27 - 2010-07-03,-17%
2010-07-04 - 2010-07-10,-29%
2010-07-11 - 2010-07-17,-30%
2010-07-18 - 2010-07-24,-27%
2010-07-25 - 2010-07-31,-21%
2010-08-01 - 2010-08-07,-19%
2010-08-08 - 2010-08-14,-15%
2010-08-15 - 2010-08-21,-23%
2010-08-22 - 2010-08-28,-23%
2010-08-29 - 2010-09-04,-23%
2010-09-05 - 2010-09-11,-21%
2010-09-12 - 2010-09-18,-18%
2010-09-19 - 2010-09-25,-24%
2010-09-26 - 2010-10-02,-19%
2010-10-03 - 2010-10-09,-20%
2010-10-10 - 2010-10-16,-21%
2010-10-17 - 2010-10-23,+0%
2010-10-24 - 2010-10-30,-10%
2010-10-31 - 2010-11-06,-19%
2010-11-07 - 2010-11-13,-24%
2010-11-14 - 2010-11-20,-27%
2010-11-21 - 2010-11-27,-32%
2010-11-28 - 2010-12-04,-27%
2010-12-05 - 2010-12-11,-30%
2010-12-12 - 2010-12-18,-21%
2010-12-19 - 2010-12-25,-31%
2010-12-26 - 2011-01-01,-28%



Top searches
jersey shore,100
amanda perez,50
rent,40
florida,20
angel amanda perez,20
rent too high,15
real estate,15
beach house,15
edc,10
vecinos,10
candy kisses,10
jersey shore punch,10
the jersey shore,10
edc 2010,10
lindsay,10
apartment,10
office space,10
roommate,10
jersey shore fight,10
sia,10



Rising searches
edc 2010,Breakout
jersey shore americano,Breakout
rent too high,Breakout
ronnie jersey shore,Breakout
the jersey shore,+350%
beach house,+250%
edc,+250%
jersey shore fight,+250%
jersey shore,+200%
vecinos,+40%



