Google Shopping interest
United States; 2009

Interest over time
Week,Pets & Animals
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-3%
2009-01-18 - 2009-01-24,+1%
2009-01-25 - 2009-01-31,+5%
2009-02-01 - 2009-02-07,-1%
2009-02-08 - 2009-02-14,-13%
2009-02-15 - 2009-02-21,-12%
2009-02-22 - 2009-02-28,-18%
2009-03-01 - 2009-03-07,-15%
2009-03-08 - 2009-03-14,-18%
2009-03-15 - 2009-03-21,-8%
2009-03-22 - 2009-03-28,+8%
2009-03-29 - 2009-04-04,+6%
2009-04-05 - 2009-04-11,+3%
2009-04-12 - 2009-04-18,+5%
2009-04-19 - 2009-04-25,+5%
2009-04-26 - 2009-05-02,+8%
2009-05-03 - 2009-05-09,+9%
2009-05-10 - 2009-05-16,+14%
2009-05-17 - 2009-05-23,+12%
2009-05-24 - 2009-05-30,+15%
2009-05-31 - 2009-06-06,+19%
2009-06-07 - 2009-06-13,+14%
2009-06-14 - 2009-06-20,+19%
2009-06-21 - 2009-06-27,+4%
2009-06-28 - 2009-07-04,-3%
2009-07-05 - 2009-07-11,+1%
2009-07-12 - 2009-07-18,+1%
2009-07-19 - 2009-07-25,-1%
2009-07-26 - 2009-08-01,-3%
2009-08-02 - 2009-08-08,+4%
2009-08-09 - 2009-08-15,+3%
2009-08-16 - 2009-08-22,+4%
2009-08-23 - 2009-08-29,-5%
2009-08-30 - 2009-09-05,-8%
2009-09-06 - 2009-09-12,-13%
2009-09-13 - 2009-09-19,-1%
2009-09-20 - 2009-09-26,+8%
2009-09-27 - 2009-10-03,+8%
2009-10-04 - 2009-10-10,+4%
2009-10-11 - 2009-10-17,+0%
2009-10-18 - 2009-10-24,+4%
2009-10-25 - 2009-10-31,+3%
2009-11-01 - 2009-11-07,+3%
2009-11-08 - 2009-11-14,+26%
2009-11-15 - 2009-11-21,+23%
2009-11-22 - 2009-11-28,+9%
2009-11-29 - 2009-12-05,+19%
2009-12-06 - 2009-12-12,+28%
2009-12-13 - 2009-12-19,+21%
2009-12-20 - 2009-12-26,+18%
2009-12-27 - 2010-01-02,+18%



Top searches
dog,100
cat,35
aquarium,25
fish,25
dogs,25
zhu zhu,20
pets,15
hamster,15
zhu zhu pets,10
frontline,10
fish tank,10
dog food,10
puppy,10
marmot,10
cats,10
horse,10
frontline plus,10
puppies,5
dog bed,5
dog crate,5



Rising searches
zhu zhu,Breakout
zhu zhu hamster,Breakout
zhu zhu pets,Breakout
frontline for dogs,+300%
frontline dogs,+250%
pets,+200%
cat food,+140%
cat,+110%
hamster,+80%
advantix,+40%



