Web Search interest
United States; 2010

Interest over time
Week,Arts & Entertainment
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+0%
2010-01-17 - 2010-01-23,+1%
2010-01-24 - 2010-01-30,-3%
2010-01-31 - 2010-02-06,+4%
2010-02-07 - 2010-02-13,+2%
2010-02-14 - 2010-02-20,-3%
2010-02-21 - 2010-02-27,-4%
2010-02-28 - 2010-03-06,-2%
2010-03-07 - 2010-03-13,+0%
2010-03-14 - 2010-03-20,-1%
2010-03-21 - 2010-03-27,-2%
2010-03-28 - 2010-04-03,+1%
2010-04-04 - 2010-04-10,+0%
2010-04-11 - 2010-04-17,-3%
2010-04-18 - 2010-04-24,-3%
2010-04-25 - 2010-05-01,+0%
2010-05-02 - 2010-05-08,+2%
2010-05-09 - 2010-05-15,+0%
2010-05-16 - 2010-05-22,+2%
2010-05-23 - 2010-05-29,+4%
2010-05-30 - 2010-06-05,+2%
2010-06-06 - 2010-06-12,-1%
2010-06-13 - 2010-06-19,-2%
2010-06-20 - 2010-06-26,+1%
2010-06-27 - 2010-07-03,+3%
2010-07-04 - 2010-07-10,-2%
2010-07-11 - 2010-07-17,-3%
2010-07-18 - 2010-07-24,+1%
2010-07-25 - 2010-07-31,-3%
2010-08-01 - 2010-08-07,+0%
2010-08-08 - 2010-08-14,-2%
2010-08-15 - 2010-08-21,+1%
2010-08-22 - 2010-08-28,-4%
2010-08-29 - 2010-09-04,-5%
2010-09-05 - 2010-09-11,-4%
2010-09-12 - 2010-09-18,-1%
2010-09-19 - 2010-09-25,-4%
2010-09-26 - 2010-10-02,-1%
2010-10-03 - 2010-10-09,-4%
2010-10-10 - 2010-10-16,-1%
2010-10-17 - 2010-10-23,-1%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,-3%
2010-11-07 - 2010-11-13,+0%
2010-11-14 - 2010-11-20,-1%
2010-11-21 - 2010-11-27,+1%
2010-11-28 - 2010-12-04,+0%
2010-12-05 - 2010-12-11,+0%
2010-12-12 - 2010-12-18,+2%
2010-12-19 - 2010-12-25,+2%
2010-12-26 - 2011-01-01,+2%



Top searches
youtube,100
lyrics,100
you,50
movies,35
games,25
you tube,15
facebook,15
netflix,15
hulu,10
google,10
disney,10
musica,10
yahoo,10
imdb,5
naruto,5
lady gaga,5
online games,5
wow,5
free games,5
watch movies,5



Rising searches
justin bieber,+550%
nicki minaj,+450%
droid,+400%
glee,+200%
katy perry,+160%
4shared,+140%
netflix,+70%
twitter,+70%
youtube music,+70%
drake,+60%



