News Search interest
United States; Past 30 days

Interest over time
Day,Reference
2014-08-19,+0%
2014-08-20,+3%
2014-08-21,+0%
2014-08-22,+13%
2014-08-23,+6%
2014-08-24,+8%
2014-08-25,+9%
2014-08-26,+6%
2014-08-27,+10%
2014-08-28,+8%
2014-08-29,+10%
2014-08-30,-1%
2014-08-31,-6%
2014-09-01,+0%
2014-09-02,+6%
2014-09-03,+4%
2014-09-04,+12%
2014-09-05,+6%
2014-09-06,+4%
2014-09-07,+4%
2014-09-08,+5%
2014-09-09,+3%
2014-09-10,+13%
2014-09-11,+28%
2014-09-12,+19%
2014-09-13,+12%
2014-09-14,+4%
2014-09-15,+13%
2014-09-16,+14%
2014-09-17, 
2014-09-18, 



Top searches
craigslist,100
google,60
maps,40
map,35
quotes,30
google maps,25
translate,25
us,25
economy,20
georgia,20
traffic,15
google translate,15
search,15
egypt,15
rob ford,15
history,15
library,10
janet yellen,10
bing,10
dictionary,10



Rising searches
janet yellen,Breakout
the fappening,Breakout
rob ford,+250%
senegal,+160%
chile,+70%
vikings,+70%
spain,+50%
translator,+50%
congo,+40%
google translate,+40%



