YouTube Search interest
United States; Past 30 days

Interest over time
Day,People & Society
2014-08-20,+0%
2014-08-21,-10%
2014-08-22,-10%
2014-08-23,-14%
2014-08-24,-10%
2014-08-25,-10%
2014-08-26,-9%
2014-08-27,-8%
2014-08-28,-11%
2014-08-29,-6%
2014-08-30,-11%
2014-08-31,-12%
2014-09-01,-10%
2014-09-02,-9%
2014-09-03,-4%
2014-09-04,-6%
2014-09-05,-4%
2014-09-06,-11%
2014-09-07,-9%
2014-09-08,-8%
2014-09-09,-7%
2014-09-10,-6%
2014-09-11,-8%
2014-09-12,-6%
2014-09-13,-13%
2014-09-14,-10%
2014-09-15,-9%
2014-09-16,-8%
2014-09-17,-6%
2014-09-18, 
2014-09-19, 



Top searches
hot,100
baby,65
girls,50
hot niggga,40
bobby shmurda,40
shmurda hot niggga,35
foley,30
james foley,25
faze,25
hot nigga,20
tech n9ne,15
meditation,15
friends,15
rhymes,15
illuminati,15
k camp,15
christina perri,15
ufo,15
imagine dragons,15
kissing,15



Rising searches
foley,Breakout
james foley,Breakout
shmurda hot niggga,+170%
bobby shmurda,+160%
hot niggga,+160%
isis,+160%
hot nigga,+80%
sign language,+70%
hot,+50%
motivational speech,+50%



