Web Search interest
United States; 2008

Interest over time
Week,Finance
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+6%
2008-01-20 - 2008-01-26,+11%
2008-01-27 - 2008-02-02,+14%
2008-02-03 - 2008-02-09,+13%
2008-02-10 - 2008-02-16,+7%
2008-02-17 - 2008-02-23,+0%
2008-02-24 - 2008-03-01,+6%
2008-03-02 - 2008-03-08,+6%
2008-03-09 - 2008-03-15,+7%
2008-03-16 - 2008-03-22,+11%
2008-03-23 - 2008-03-29,+6%
2008-03-30 - 2008-04-05,+8%
2008-04-06 - 2008-04-12,+8%
2008-04-13 - 2008-04-19,+13%
2008-04-20 - 2008-04-26,-3%
2008-04-27 - 2008-05-03,+6%
2008-05-04 - 2008-05-10,+0%
2008-05-11 - 2008-05-17,+0%
2008-05-18 - 2008-05-24,-5%
2008-05-25 - 2008-05-31,-7%
2008-06-01 - 2008-06-07,-2%
2008-06-08 - 2008-06-14,+0%
2008-06-15 - 2008-06-21,-1%
2008-06-22 - 2008-06-28,-3%
2008-06-29 - 2008-07-05,-3%
2008-07-06 - 2008-07-12,+1%
2008-07-13 - 2008-07-19,+6%
2008-07-20 - 2008-07-26,+1%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,-3%
2008-08-10 - 2008-08-16,-7%
2008-08-17 - 2008-08-23,-8%
2008-08-24 - 2008-08-30,-9%
2008-08-31 - 2008-09-06,-9%
2008-09-07 - 2008-09-13,-8%
2008-09-14 - 2008-09-20,+13%
2008-09-21 - 2008-09-27,+8%
2008-09-28 - 2008-10-04,+14%
2008-10-05 - 2008-10-11,+15%
2008-10-12 - 2008-10-18,+6%
2008-10-19 - 2008-10-25,+1%
2008-10-26 - 2008-11-01,+1%
2008-11-02 - 2008-11-08,-8%
2008-11-09 - 2008-11-15,-3%
2008-11-16 - 2008-11-22,-5%
2008-11-23 - 2008-11-29,-13%
2008-11-30 - 2008-12-06,+0%
2008-12-07 - 2008-12-13,-7%
2008-12-14 - 2008-12-20,+0%
2008-12-21 - 2008-12-27,-13%
2008-12-28 - 2009-01-03,+0%



Top searches
bank,100
insurance,35
bank america,30
bank of america,30
chase,20
irs,15
loans,15
wells fargo,15
wachovia,10
credit card,10
wamu,10
money,10
american express,10
capital one,10
finance,5
dollar,5
mortgage calculator,5
citibank,5
credit report,5
fidelity,5



Rising searches
oil price,+400%
fdic,+250%
oil prices,+250%
gold price,+130%
fha,+120%
aig,+90%
mortgage rates,+80%
cd rates,+60%
stock market,+50%
euro,+40%



