Web Search interest
United States; 2004

Interest over time
Week,Games
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-5%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,-5%
2004-02-01 - 2004-02-07,-11%
2004-02-08 - 2004-02-14,-13%
2004-02-15 - 2004-02-21,-2%
2004-02-22 - 2004-02-28,-10%
2004-02-29 - 2004-03-06,-13%
2004-03-07 - 2004-03-13,-4%
2004-03-14 - 2004-03-20,-7%
2004-03-21 - 2004-03-27,+2%
2004-03-28 - 2004-04-03,-10%
2004-04-04 - 2004-04-10,-5%
2004-04-11 - 2004-04-17,-9%
2004-04-18 - 2004-04-24,-12%
2004-04-25 - 2004-05-01,-12%
2004-05-02 - 2004-05-08,-12%
2004-05-09 - 2004-05-15,-10%
2004-05-16 - 2004-05-22,-7%
2004-05-23 - 2004-05-29,-4%
2004-05-30 - 2004-06-05,-1%
2004-06-06 - 2004-06-12,-6%
2004-06-13 - 2004-06-19,-4%
2004-06-20 - 2004-06-26,-4%
2004-06-27 - 2004-07-03,+0%
2004-07-04 - 2004-07-10,-1%
2004-07-11 - 2004-07-17,-1%
2004-07-18 - 2004-07-24,-5%
2004-07-25 - 2004-07-31,-6%
2004-08-01 - 2004-08-07,-4%
2004-08-08 - 2004-08-14,-4%
2004-08-15 - 2004-08-21,-9%
2004-08-22 - 2004-08-28,-10%
2004-08-29 - 2004-09-04,-10%
2004-09-05 - 2004-09-11,-7%
2004-09-12 - 2004-09-18,-11%
2004-09-19 - 2004-09-25,-11%
2004-09-26 - 2004-10-02,-11%
2004-10-03 - 2004-10-09,-10%
2004-10-10 - 2004-10-16,-4%
2004-10-17 - 2004-10-23,-10%
2004-10-24 - 2004-10-30,-7%
2004-10-31 - 2004-11-06,-9%
2004-11-07 - 2004-11-13,+6%
2004-11-14 - 2004-11-20,-1%
2004-11-21 - 2004-11-27,+13%
2004-11-28 - 2004-12-04,-1%
2004-12-05 - 2004-12-11,+0%
2004-12-12 - 2004-12-18,+5%
2004-12-19 - 2004-12-25,+21%
2004-12-26 - 2005-01-01,+22%



Top searches
games,100
game,60
cheats,60
lottery,30
codes,25
xbox,25
poker,20
free games,20
online games,15
halo,15
final fantasy,15
cheat codes,15
sims,10
playstation,10
lotto,10
roms,10
pokemon,10
nintendo,10
mario,10
halo 2,5



Rising searches
san andreas,Breakout
fable,+400%
nintendo ds,+400%
doom 3,+300%
sims 2,+250%
world of warcraft,+200%
half life 2,+170%
halo 2,+110%
mortal kombat,+110%
runescape,+90%



