Image Search interest
United States; 2012

Interest over time
Week,Real Estate
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-1%
2012-01-15 - 2012-01-21,-4%
2012-01-22 - 2012-01-28,-4%
2012-01-29 - 2012-02-04,-4%
2012-02-05 - 2012-02-11,-8%
2012-02-12 - 2012-02-18,-9%
2012-02-19 - 2012-02-25,-3%
2012-02-26 - 2012-03-03,-4%
2012-03-04 - 2012-03-10,+1%
2012-03-11 - 2012-03-17,+0%
2012-03-18 - 2012-03-24,+1%
2012-03-25 - 2012-03-31,+5%
2012-04-01 - 2012-04-07,-3%
2012-04-08 - 2012-04-14,-3%
2012-04-15 - 2012-04-21,-4%
2012-04-22 - 2012-04-28,-4%
2012-04-29 - 2012-05-05,-6%
2012-05-06 - 2012-05-12,-8%
2012-05-13 - 2012-05-19,-4%
2012-05-20 - 2012-05-26,+0%
2012-05-27 - 2012-06-02,+9%
2012-06-03 - 2012-06-09,+0%
2012-06-10 - 2012-06-16,+1%
2012-06-17 - 2012-06-23,-1%
2012-06-24 - 2012-06-30,+6%
2012-07-01 - 2012-07-07,+3%
2012-07-08 - 2012-07-14,+5%
2012-07-15 - 2012-07-21,+3%
2012-07-22 - 2012-07-28,+1%
2012-07-29 - 2012-08-04,+1%
2012-08-05 - 2012-08-11,-3%
2012-08-12 - 2012-08-18,-3%
2012-08-19 - 2012-08-25,+3%
2012-08-26 - 2012-09-01,-4%
2012-09-02 - 2012-09-08,-6%
2012-09-09 - 2012-09-15,-9%
2012-09-16 - 2012-09-22,-9%
2012-09-23 - 2012-09-29,-6%
2012-09-30 - 2012-10-06,-9%
2012-10-07 - 2012-10-13,-13%
2012-10-14 - 2012-10-20,-12%
2012-10-21 - 2012-10-27,-15%
2012-10-28 - 2012-11-03,+28%
2012-11-04 - 2012-11-10,+4%
2012-11-11 - 2012-11-17,-4%
2012-11-18 - 2012-11-24,-12%
2012-11-25 - 2012-12-01,-10%
2012-12-02 - 2012-12-08,-13%
2012-12-09 - 2012-12-15,-9%
2012-12-16 - 2012-12-22,-1%
2012-12-23 - 2012-12-29,-13%
2012-12-30 - 2013-01-05,-4%



Top searches
house,100
houses,65
florida,55
apartments,45
homes,45
beach,40
cabin,25
home,25
jersey shore,25
rent,25
apartment,20
for rent,15
lake,15
real estate,15
house plans,15
floor plans,15
orlando,10
finn,10
cabins,10
mansions,10



Rising searches
jersey shore sandy,Breakout
seaside heights sandy,Breakout
sandy hook,+1,750%
sia,+500%
minecraft houses,+400%
seaside heights,+300%
minecraft house,+250%
cool houses,+120%
finn,+100%
house designs,+90%



