Image Search interest
United States; 2012

Interest over time
Week,Reference
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+9%
2012-01-15 - 2012-01-21,+12%
2012-01-22 - 2012-01-28,+13%
2012-01-29 - 2012-02-04,+17%
2012-02-05 - 2012-02-11,+13%
2012-02-12 - 2012-02-18,+8%
2012-02-19 - 2012-02-25,+8%
2012-02-26 - 2012-03-03,+18%
2012-03-04 - 2012-03-10,+23%
2012-03-11 - 2012-03-17,+22%
2012-03-18 - 2012-03-24,+19%
2012-03-25 - 2012-03-31,+22%
2012-04-01 - 2012-04-07,+8%
2012-04-08 - 2012-04-14,+12%
2012-04-15 - 2012-04-21,+18%
2012-04-22 - 2012-04-28,+19%
2012-04-29 - 2012-05-05,+19%
2012-05-06 - 2012-05-12,+22%
2012-05-13 - 2012-05-19,+23%
2012-05-20 - 2012-05-26,+21%
2012-05-27 - 2012-06-02,+12%
2012-06-03 - 2012-06-09,+9%
2012-06-10 - 2012-06-16,-1%
2012-06-17 - 2012-06-23,-10%
2012-06-24 - 2012-06-30,-8%
2012-07-01 - 2012-07-07,-9%
2012-07-08 - 2012-07-14,-12%
2012-07-15 - 2012-07-21,-6%
2012-07-22 - 2012-07-28,-10%
2012-07-29 - 2012-08-04,-10%
2012-08-05 - 2012-08-11,-9%
2012-08-12 - 2012-08-18,-6%
2012-08-19 - 2012-08-25,+0%
2012-08-26 - 2012-09-01,+17%
2012-09-02 - 2012-09-08,+19%
2012-09-09 - 2012-09-15,+23%
2012-09-16 - 2012-09-22,+23%
2012-09-23 - 2012-09-29,+26%
2012-09-30 - 2012-10-06,+22%
2012-10-07 - 2012-10-13,+26%
2012-10-14 - 2012-10-20,+24%
2012-10-21 - 2012-10-27,+18%
2012-10-28 - 2012-11-03,+22%
2012-11-04 - 2012-11-10,+24%
2012-11-11 - 2012-11-17,+27%
2012-11-18 - 2012-11-24,+9%
2012-11-25 - 2012-12-01,+28%
2012-12-02 - 2012-12-08,+28%
2012-12-09 - 2012-12-15,+24%
2012-12-16 - 2012-12-22,+15%
2012-12-23 - 2012-12-29,-5%
2012-12-30 - 2013-01-05,+9%



Top searches
quotes,100
map,65
love,25
flag,20
love quotes,20
funny quotes,10
sayings,10
quotes tumblr,10
life quotes,10
world map,10
quotes and sayings,5
marilyn monroe,5
cute quotes,5
us map,5
usa,5
united states map,5
calendar,5
europe,5
quotes about life,5
quote,5



Rising searches
quotes tumblr,+1,000%
drake,+250%
funny quotes,+140%
quote,+120%
quotes,+100%
cute quotes,+60%
life quotes,+60%
love quotes,+60%
love,+50%
quotes about love,+50%



