YouTube Search interest
United States; 2009

Interest over time
Week,Finance
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+4%
2009-01-18 - 2009-01-24,-3%
2009-01-25 - 2009-01-31,+14%
2009-02-01 - 2009-02-07,+14%
2009-02-08 - 2009-02-14,+7%
2009-02-15 - 2009-02-21,+14%
2009-02-22 - 2009-02-28,+14%
2009-03-01 - 2009-03-07,+10%
2009-03-08 - 2009-03-14,+15%
2009-03-15 - 2009-03-21,+25%
2009-03-22 - 2009-03-28,+18%
2009-03-29 - 2009-04-04,+25%
2009-04-05 - 2009-04-11,+13%
2009-04-12 - 2009-04-18,+15%
2009-04-19 - 2009-04-25,+16%
2009-04-26 - 2009-05-02,+15%
2009-05-03 - 2009-05-09,+18%
2009-05-10 - 2009-05-16,+20%
2009-05-17 - 2009-05-23,+13%
2009-05-24 - 2009-05-30,+16%
2009-05-31 - 2009-06-06,+11%
2009-06-07 - 2009-06-13,+15%
2009-06-14 - 2009-06-20,+20%
2009-06-21 - 2009-06-27,+2%
2009-06-28 - 2009-07-04,+2%
2009-07-05 - 2009-07-11,+4%
2009-07-12 - 2009-07-18,+4%
2009-07-19 - 2009-07-25,+1%
2009-07-26 - 2009-08-01,+6%
2009-08-02 - 2009-08-08,+10%
2009-08-09 - 2009-08-15,+5%
2009-08-16 - 2009-08-22,+6%
2009-08-23 - 2009-08-29,+6%
2009-08-30 - 2009-09-05,+9%
2009-09-06 - 2009-09-12,+13%
2009-09-13 - 2009-09-19,+2%
2009-09-20 - 2009-09-26,+13%
2009-09-27 - 2009-10-03,+13%
2009-10-04 - 2009-10-10,+11%
2009-10-11 - 2009-10-17,+10%
2009-10-18 - 2009-10-24,+16%
2009-10-25 - 2009-10-31,+9%
2009-11-01 - 2009-11-07,+2%
2009-11-08 - 2009-11-14,+4%
2009-11-15 - 2009-11-21,+0%
2009-11-22 - 2009-11-28,-5%
2009-11-29 - 2009-12-05,+0%
2009-12-06 - 2009-12-12,+1%
2009-12-13 - 2009-12-19,+1%
2009-12-20 - 2009-12-26,+4%
2009-12-27 - 2010-01-02,-3%



Top searches
dime,100
manana,55
second chance,45
free credit report,45
geico,40
insurance,40
chase,35
credit report commercial,30
jose feliciano,25
sparta,25
flex,25
stock,25
fx,25
credit card,20
geico commercial,20
forex,15
pensando en ti,15
quinta categoria,15
ashlee simpson,15
rain creed,15



Rising searches
dime,Breakout
flex,Breakout
medicate,Breakout
quinta categoria,Breakout
rain creed,Breakout
geico money,+900%
manana,+750%
second chance,+550%
pensando en ti,+120%
fx,+60%



