YouTube Search interest
United States; Past 30 days

Interest over time
Day,Online Communities
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,+1%
2014-08-23,+2%
2014-08-24,+8%
2014-08-25,-2%
2014-08-26,-1%
2014-08-27,+0%
2014-08-28,+0%
2014-08-29,-3%
2014-08-30,+3%
2014-08-31,+1%
2014-09-01,+3%
2014-09-02,-2%
2014-09-03,-5%
2014-09-04,-8%
2014-09-05,-5%
2014-09-06,+4%
2014-09-07,+8%
2014-09-08,-5%
2014-09-09,-7%
2014-09-10,-2%
2014-09-11,-9%
2014-09-12,-4%
2014-09-13,+4%
2014-09-14,+10%
2014-09-15,-8%
2014-09-16,-9%
2014-09-17,-2%
2014-09-18, 
2014-09-19, 



Top searches
gmod,100
watchmojo,75
play doh,70
lindsey stirling,55
lana del rey,40
women,40
facebook,40
secrets,35
russian,35
graser10,30
venturiantale,25
venturiantale gmod,25
club penguin,20
secrets mary lambert,20
mojo,20
skyblock,15
vanossgaming,15
tumblr,15
edm,15
gifs,15



Rising searches
secrets mary lambert,+140%
facebook login,+70%
jesse y joy,+70%
markiplier animated,+70%
secrets,+60%
playdoh,+40%
underachievers,+40%



