Web Search interest
United States; 2013

Interest over time
Week,Jobs & Education
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-1%
2013-01-20 - 2013-01-26,-6%
2013-01-27 - 2013-02-02,-3%
2013-02-03 - 2013-02-09,-9%
2013-02-10 - 2013-02-16,-11%
2013-02-17 - 2013-02-23,-15%
2013-02-24 - 2013-03-02,-7%
2013-03-03 - 2013-03-09,-7%
2013-03-10 - 2013-03-16,-12%
2013-03-17 - 2013-03-23,-10%
2013-03-24 - 2013-03-30,-14%
2013-03-31 - 2013-04-06,-12%
2013-04-07 - 2013-04-13,-4%
2013-04-14 - 2013-04-20,-11%
2013-04-21 - 2013-04-27,-9%
2013-04-28 - 2013-05-04,-10%
2013-05-05 - 2013-05-11,-11%
2013-05-12 - 2013-05-18,-10%
2013-05-19 - 2013-05-25,-10%
2013-05-26 - 2013-06-01,-19%
2013-06-02 - 2013-06-08,-16%
2013-06-09 - 2013-06-15,-21%
2013-06-16 - 2013-06-22,-26%
2013-06-23 - 2013-06-29,-31%
2013-06-30 - 2013-07-06,-36%
2013-07-07 - 2013-07-13,-28%
2013-07-14 - 2013-07-20,-28%
2013-07-21 - 2013-07-27,-26%
2013-07-28 - 2013-08-03,-21%
2013-08-04 - 2013-08-10,-15%
2013-08-11 - 2013-08-17,-12%
2013-08-18 - 2013-08-24,+2%
2013-08-25 - 2013-08-31,+6%
2013-09-01 - 2013-09-07,+4%
2013-09-08 - 2013-09-14,+2%
2013-09-15 - 2013-09-21,-2%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,-3%
2013-10-13 - 2013-10-19,-9%
2013-10-20 - 2013-10-26,-1%
2013-10-27 - 2013-11-02,-4%
2013-11-03 - 2013-11-09,-3%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,-5%
2013-11-24 - 2013-11-30,-29%
2013-12-01 - 2013-12-07,-10%
2013-12-08 - 2013-12-14,-10%
2013-12-15 - 2013-12-21,-15%
2013-12-22 - 2013-12-28,-48%
2013-12-29 - 2014-01-04,-35%



Top searches
jobs,100
elementary,30
test,20
at,20
resume,15
indeed,15
blackboard,15
academy,15
barnes and noble,10
rate my professor,5
work,5
cover letter,5
harvard,5
careerbuilder,5
interview questions,5
edline,5
masters,5
stanford,5
ucla,5
notre dame,5



Rising searches
monsters university,+1,550%
the internship,+450%
my big campus,+120%
teachers pay teachers,+100%
common core standards,+50%
glassdoor,+50%
d2l,+40%
indeed jobs,+40%
infinite campus,+40%
lone star college,+40%



