News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Real Estate
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+12%
2008-01-20 - 2008-01-26,+14%
2008-01-27 - 2008-02-02,+45%
2008-02-03 - 2008-02-09,-29%
2008-02-10 - 2008-02-16,-7%
2008-02-17 - 2008-02-23,-14%
2008-02-24 - 2008-03-01,+19%
2008-03-02 - 2008-03-08,+0%
2008-03-09 - 2008-03-15,-2%
2008-03-16 - 2008-03-22,-10%
2008-03-23 - 2008-03-29,+40%
2008-03-30 - 2008-04-05,+14%
2008-04-06 - 2008-04-12,+138%
2008-04-13 - 2008-04-19,+26%
2008-04-20 - 2008-04-26,+7%
2008-04-27 - 2008-05-03,-19%
2008-05-04 - 2008-05-10,-14%
2008-05-11 - 2008-05-17,+12%
2008-05-18 - 2008-05-24,+7%
2008-05-25 - 2008-05-31,+31%
2008-06-01 - 2008-06-07,+7%
2008-06-08 - 2008-06-14,-2%
2008-06-15 - 2008-06-21,+2%
2008-06-22 - 2008-06-28,+36%
2008-06-29 - 2008-07-05,+2%
2008-07-06 - 2008-07-12,+2%
2008-07-13 - 2008-07-19,+10%
2008-07-20 - 2008-07-26,+38%
2008-07-27 - 2008-08-02,+74%
2008-08-03 - 2008-08-09,-14%
2008-08-10 - 2008-08-16,-40%
2008-08-17 - 2008-08-23,+10%
2008-08-24 - 2008-08-30,-7%
2008-08-31 - 2008-09-06,-24%
2008-09-07 - 2008-09-13,-19%
2008-09-14 - 2008-09-20,+5%
2008-09-21 - 2008-09-27,-10%
2008-09-28 - 2008-10-04,-5%
2008-10-05 - 2008-10-11,+10%
2008-10-12 - 2008-10-18,-12%
2008-10-19 - 2008-10-25,+7%
2008-10-26 - 2008-11-01,+5%
2008-11-02 - 2008-11-08,-48%
2008-11-09 - 2008-11-15,+2%
2008-11-16 - 2008-11-22,+24%
2008-11-23 - 2008-11-29,+21%
2008-11-30 - 2008-12-06,+5%
2008-12-07 - 2008-12-13,-12%
2008-12-14 - 2008-12-20,-2%
2008-12-21 - 2008-12-27,+12%
2008-12-28 - 2009-01-03,+26%
2009-01-04 - 2009-01-10,+26%
2009-01-11 - 2009-01-17,-2%
2009-01-18 - 2009-01-24,-21%
2009-01-25 - 2009-01-31,+19%
2009-02-01 - 2009-02-07,+2%
2009-02-08 - 2009-02-14,+0%
2009-02-15 - 2009-02-21,+26%
2009-02-22 - 2009-02-28,+36%
2009-03-01 - 2009-03-07,+48%
2009-03-08 - 2009-03-14,+48%
2009-03-15 - 2009-03-21,+29%
2009-03-22 - 2009-03-28,+33%
2009-03-29 - 2009-04-04,+40%
2009-04-05 - 2009-04-11,+43%
2009-04-12 - 2009-04-18,+26%
2009-04-19 - 2009-04-25,+24%
2009-04-26 - 2009-05-02,-2%
2009-05-03 - 2009-05-09,+12%
2009-05-10 - 2009-05-16,+29%
2009-05-17 - 2009-05-23,+14%
2009-05-24 - 2009-05-30,+38%
2009-05-31 - 2009-06-06,+50%
2009-06-07 - 2009-06-13,+43%
2009-06-14 - 2009-06-20,+45%
2009-06-21 - 2009-06-27,+38%
2009-06-28 - 2009-07-04,+31%
2009-07-05 - 2009-07-11,+40%
2009-07-12 - 2009-07-18,+74%
2009-07-19 - 2009-07-25,+52%
2009-07-26 - 2009-08-01,+74%
2009-08-02 - 2009-08-08,+52%
2009-08-09 - 2009-08-15,+55%
2009-08-16 - 2009-08-22,+52%
2009-08-23 - 2009-08-29,+45%
2009-08-30 - 2009-09-05,+43%
2009-09-06 - 2009-09-12,+26%
2009-09-13 - 2009-09-19,+10%
2009-09-20 - 2009-09-26,+48%
2009-09-27 - 2009-10-03,+33%
2009-10-04 - 2009-10-10,+31%
2009-10-11 - 2009-10-17,+43%
2009-10-18 - 2009-10-24,+48%
2009-10-25 - 2009-10-31,+48%
2009-11-01 - 2009-11-07,+62%
2009-11-08 - 2009-11-14,+38%
2009-11-15 - 2009-11-21,+33%
2009-11-22 - 2009-11-28,+21%
2009-11-29 - 2009-12-05,+21%
2009-12-06 - 2009-12-12,+29%
2009-12-13 - 2009-12-19,+24%
2009-12-20 - 2009-12-26,+12%
2009-12-27 - 2010-01-02,+21%
2010-01-03 - 2010-01-09,+71%
2010-01-10 - 2010-01-16,+40%
2010-01-17 - 2010-01-23,+36%
2010-01-24 - 2010-01-30,+43%
2010-01-31 - 2010-02-06,+40%
2010-02-07 - 2010-02-13,+26%
2010-02-14 - 2010-02-20,+29%
2010-02-21 - 2010-02-27,+55%
2010-02-28 - 2010-03-06,+29%
2010-03-07 - 2010-03-13,+43%
2010-03-14 - 2010-03-20,+55%
2010-03-21 - 2010-03-27,+45%
2010-03-28 - 2010-04-03,+43%
2010-04-04 - 2010-04-10,+62%
2010-04-11 - 2010-04-17,+50%
2010-04-18 - 2010-04-24,+40%
2010-04-25 - 2010-05-01,+36%
2010-05-02 - 2010-05-08,+36%
2010-05-09 - 2010-05-15,+45%
2010-05-16 - 2010-05-22,+33%
2010-05-23 - 2010-05-29,+48%
2010-05-30 - 2010-06-05,+38%
2010-06-06 - 2010-06-12,+33%
2010-06-13 - 2010-06-19,+33%
2010-06-20 - 2010-06-26,+60%
2010-06-27 - 2010-07-03,+40%
2010-07-04 - 2010-07-10,+17%
2010-07-11 - 2010-07-17,+17%
2010-07-18 - 2010-07-24,+95%
2010-07-25 - 2010-07-31,+67%
2010-08-01 - 2010-08-07,+26%
2010-08-08 - 2010-08-14,+40%
2010-08-15 - 2010-08-21,+45%
2010-08-22 - 2010-08-28,+45%
2010-08-29 - 2010-09-04,+19%
2010-09-05 - 2010-09-11,+38%
2010-09-12 - 2010-09-18,+33%
2010-09-19 - 2010-09-25,+45%
2010-09-26 - 2010-10-02,+36%
2010-10-03 - 2010-10-09,+40%
2010-10-10 - 2010-10-16,+31%
2010-10-17 - 2010-10-23,+38%
2010-10-24 - 2010-10-30,+21%
2010-10-31 - 2010-11-06,+2%
2010-11-07 - 2010-11-13,+38%
2010-11-14 - 2010-11-20,+31%
2010-11-21 - 2010-11-27,+36%
2010-11-28 - 2010-12-04,+38%
2010-12-05 - 2010-12-11,+43%
2010-12-12 - 2010-12-18,+48%
2010-12-19 - 2010-12-25,+45%
2010-12-26 - 2011-01-01,+60%
2011-01-02 - 2011-01-08,+62%
2011-01-09 - 2011-01-15,+48%
2011-01-16 - 2011-01-22,+52%
2011-01-23 - 2011-01-29,+74%
2011-01-30 - 2011-02-05,+55%
2011-02-06 - 2011-02-12,+50%
2011-02-13 - 2011-02-19,+52%
2011-02-20 - 2011-02-26,+55%
2011-02-27 - 2011-03-05,+40%
2011-03-06 - 2011-03-12,+43%
2011-03-13 - 2011-03-19,+29%
2011-03-20 - 2011-03-26,+64%
2011-03-27 - 2011-04-02,+79%
2011-04-03 - 2011-04-09,+50%
2011-04-10 - 2011-04-16,+55%
2011-04-17 - 2011-04-23,+71%
2011-04-24 - 2011-04-30,+60%
2011-05-01 - 2011-05-07,+33%
2011-05-08 - 2011-05-14,+67%
2011-05-15 - 2011-05-21,+55%
2011-05-22 - 2011-05-28,+55%
2011-05-29 - 2011-06-04,+93%
2011-06-05 - 2011-06-11,+64%
2011-06-12 - 2011-06-18,+71%
