Google Shopping interest
United States; 2008

Interest over time
Week,Science
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+3%
2008-01-20 - 2008-01-26,-8%
2008-01-27 - 2008-02-02,-12%
2008-02-03 - 2008-02-09,-12%
2008-02-10 - 2008-02-16,-15%
2008-02-17 - 2008-02-23,-22%
2008-02-24 - 2008-03-01,-18%
2008-03-02 - 2008-03-08,-24%
2008-03-09 - 2008-03-15,-19%
2008-03-16 - 2008-03-22,-24%
2008-03-23 - 2008-03-29,-18%
2008-03-30 - 2008-04-05,-16%
2008-04-06 - 2008-04-12,-18%
2008-04-13 - 2008-04-19,-20%
2008-04-20 - 2008-04-26,-22%
2008-04-27 - 2008-05-03,-22%
2008-05-04 - 2008-05-10,-19%
2008-05-11 - 2008-05-17,-22%
2008-05-18 - 2008-05-24,-24%
2008-05-25 - 2008-05-31,-23%
2008-06-01 - 2008-06-07,-24%
2008-06-08 - 2008-06-14,-24%
2008-06-15 - 2008-06-21,-23%
2008-06-22 - 2008-06-28,-24%
2008-06-29 - 2008-07-05,-30%
2008-07-06 - 2008-07-12,-26%
2008-07-13 - 2008-07-19,-24%
2008-07-20 - 2008-07-26,-23%
2008-07-27 - 2008-08-02,-24%
2008-08-03 - 2008-08-09,-19%
2008-08-10 - 2008-08-16,-14%
2008-08-17 - 2008-08-23,+8%
2008-08-24 - 2008-08-30,+35%
2008-08-31 - 2008-09-06,+19%
2008-09-07 - 2008-09-13,+0%
2008-09-14 - 2008-09-20,-16%
2008-09-21 - 2008-09-27,-15%
2008-09-28 - 2008-10-04,-26%
2008-10-05 - 2008-10-11,-28%
2008-10-12 - 2008-10-18,-27%
2008-10-19 - 2008-10-25,-34%
2008-10-26 - 2008-11-01,-34%
2008-11-02 - 2008-11-08,-36%
2008-11-09 - 2008-11-15,-35%
2008-11-16 - 2008-11-22,-31%
2008-11-23 - 2008-11-29,-45%
2008-11-30 - 2008-12-06,-36%
2008-12-07 - 2008-12-13,-36%
2008-12-14 - 2008-12-20,-36%
2008-12-21 - 2008-12-27,-47%
2008-12-28 - 2009-01-03,-45%



Top searches
scale,100
chemistry,70
math,60
pond,60
autocad,50
microscope,45
robot,45
thermos,35
scales,30
digital scale,25
butterfly,25
ant farm,20
pond pumps,15
magnetic,15
magnifier,15
bathroom scale,15
autocad 2008,15
weight scale,15
instinct,15
spss,15



Rising searches
instinct,Breakout
sand,+110%
autocad,+80%
autocad lt,+80%
digital scale,+80%
magnet,+80%
pond pumps,+80%
spss,+80%
pond,+70%
chemistry,+60%



