News Search interest
United States; 2012

Interest over time
Week,News
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-2%
2012-01-15 - 2012-01-21,-2%
2012-01-22 - 2012-01-28,+0%
2012-01-29 - 2012-02-04,-12%
2012-02-05 - 2012-02-11,-17%
2012-02-12 - 2012-02-18,-24%
2012-02-19 - 2012-02-25,-17%
2012-02-26 - 2012-03-03,-10%
2012-03-04 - 2012-03-10,-10%
2012-03-11 - 2012-03-17,-22%
2012-03-18 - 2012-03-24,-24%
2012-03-25 - 2012-03-31,-27%
2012-04-01 - 2012-04-07,-24%
2012-04-08 - 2012-04-14,-17%
2012-04-15 - 2012-04-21,-22%
2012-04-22 - 2012-04-28,-20%
2012-04-29 - 2012-05-05,-22%
2012-05-06 - 2012-05-12,-17%
2012-05-13 - 2012-05-19,-24%
2012-05-20 - 2012-05-26,-29%
2012-05-27 - 2012-06-02,-24%
2012-06-03 - 2012-06-09,-20%
2012-06-10 - 2012-06-16,-27%
2012-06-17 - 2012-06-23,-24%
2012-06-24 - 2012-06-30,-17%
2012-07-01 - 2012-07-07,-20%
2012-07-08 - 2012-07-14,-20%
2012-07-15 - 2012-07-21,-15%
2012-07-22 - 2012-07-28,-20%
2012-07-29 - 2012-08-04,-29%
2012-08-05 - 2012-08-11,-27%
2012-08-12 - 2012-08-18,-17%
2012-08-19 - 2012-08-25,-15%
2012-08-26 - 2012-09-01,+0%
2012-09-02 - 2012-09-08,-2%
2012-09-09 - 2012-09-15,-17%
2012-09-16 - 2012-09-22,-10%
2012-09-23 - 2012-09-29,-24%
2012-09-30 - 2012-10-06,+5%
2012-10-07 - 2012-10-13,+2%
2012-10-14 - 2012-10-20,+0%
2012-10-21 - 2012-10-27,+29%
2012-10-28 - 2012-11-03,+24%
2012-11-04 - 2012-11-10,+144%
2012-11-11 - 2012-11-17,-2%
2012-11-18 - 2012-11-24,-20%
2012-11-25 - 2012-12-01,-27%
2012-12-02 - 2012-12-08,-24%
2012-12-09 - 2012-12-15,-15%
2012-12-16 - 2012-12-22,-17%
2012-12-23 - 2012-12-29,-12%
2012-12-30 - 2013-01-05,-29%



Top searches
news,100
romney,95
mitt romney,55
weather,40
election,40
obama,35
ron paul,30
polls,25
debate,25
cnn,20
robert pattinson,20
fox,20
poll,20
election results,15
fox news,15
kardashian,15
kristen stewart,15
kate middleton,10
kim kardashian,10
miley cyrus,10



Rising searches
presidential polls,+2,100%
mitt romney,+1,000%
romney,+900%
presidential debate,+750%
polls,+550%
election,+250%
election results,+250%
kristen stewart,+250%
limbaugh,+200%
robert pattinson,+160%



